desktop-one,desktop-many,laptop-one,laptop-many,graphic-one,graphic-many,ray-one,ray-many,voxel-one,voxel-many
7568.77,5378.71,11207.4,8048.24,13553.7,7733.09,8493.48,4483.36,9359.22,6074.81
8079.71,5988.96,11966.6,9154.57,14440.8,8750.9,8444.82,5251.96,9347.45,6900
7977.96,5751.35,11692.8,8748.63,14249.6,8379.9,8487.07,5014.55,9681.99,6724.56
8096.9,6076.94,12087.2,9310.75,14934.8,8929.12,8718.48,5333.87,10111.9,7054.83
8577.81,6159.95,11989.6,8825.85,14475.3,8510.5,8560.6,5377.51,9323.14,7301.45
7829.98,5677.63,11524.1,8563.07,13859.1,8045.98,8549.01,4829.13,9318.68,6483.99
7602.47,5342.63,11315.1,8109.93,13843.6,7983.06,8572.43,4750.32,9258.12,6226.46
8099.65,5886.31,11881.5,8950.69,14400.5,8605.14,8498.39,5203.26,9478.35,6777.63
8203.1,5530.91,11441.8,8437.58,13822.9,8196.22,8527.09,4904.22,9396.69,6452.12
8027.67,5828.75,11884.3,8949.24,14311.3,8562.19,8474.93,5108.31,9991.47,6709.25
8121.25,5749.61,11825.5,8752.36,14238.5,8384.75,8253.85,5030.51,9257.26,6608.26
8226.1,6557.41,12366.5,9411.22,14775.5,9014.41,9070.71,5708.83,9316.15,7076.95
8060.72,5768.35,11789,8831.52,14211.8,8444.85,8718.05,5050.18,9392.34,6847.24
8205.37,6409.21,12334.2,9192.11,14566.7,8798.55,8517.53,5629.86,9375.31,6931.5
8099.19,5295.75,11261.8,8023.44,13462.9,7680.77,8323.62,4587.12,9107.01,6672.58
8325.2,6454.63,12231.4,9198.58,14623.3,8883.89,8456.55,5583.83,9375.46,6957.87
7822.26,5610.03,11527.4,8922.3,13988.2,8496.58,8655.83,4980.98,9384.83,6569.18
8103.11,5686.36,11653,9019.55,14056.8,8302.25,8605.58,5024.25,9528.35,6533.74
7872.87,5581.05,11844.4,8741.78,13930.1,8117.2,8359.31,4854.06,9334.05,6378.82
7982.77,5847.95,11891.1,9058.02,14554.2,8506.34,8184.3,5122.37,11080.5,6686.65
8251.93,6410.98,12100,9315.08,14522.1,8719.38,8740.72,5534.53,12068.8,6908.58
7927.34,5545.79,11260.6,8385.04,13633.9,7848.58,8611.42,4705.24,9369.43,6198.67
8338.78,5527.33,11590.3,8556.87,14190.2,8007.61,8217.95,4805.83,9544.52,6340.72
7884.81,5571.5,11372.9,8667.11,13787.7,8282.53,8373.51,4965.44,10571.7,6456.85
8135.01,6194.22,11988.6,8888.19,15035.7,8460.66,8436.93,5365.77,11987.6,6677.93
7934.1,5610.6,11594.4,8589.42,13988.3,8193.29,8417.05,4889.3,9289.85,6465.88
7935.06,5803.47,11603.6,8871.21,14150.6,8385.55,8541.27,5087.99,10420.9,6553.45
7563.53,5206.36,11079.8,7918.27,13348.6,7667.61,8505.24,4622.96,9241.68,6019.94
8103.9,5904.77,12047.7,8965.1,14382.2,8600.77,8627.99,5205.93,9652.89,7627.16
8224.45,5996.97,12158,9167.95,14514.7,8744.16,8291.41,5254.25,9619.36,6849.81
8098.93,5676.78,11644.8,8668.29,13961.2,8270.44,8368.86,4954.51,9119.21,6478.74
8020.02,5799.72,11831.3,8945.4,14287.1,8492.43,8533.59,5079.74,9399.02,7434.69
7620.93,5577.57,11380.1,8598.84,14018.2,8284.11,8531.93,5381.33,9269.31,6415.17
8401.82,5747.51,11558,8735.63,14073.9,8453.25,8490,5287.91,9220.7,6601.63
8200.37,6160.07,11937.2,8840.22,14223.4,8479.7,8379.32,5426.92,9327.89,6738.72
7927.79,5747.11,11906.4,8727.74,14320.1,8370.37,8089.77,5013.41,9029,6539.31
7845.21,5591.66,11506.6,8680.07,13950.7,8295.54,8534.48,4976.16,9246.42,7244.15
8077.64,5795.15,11712.1,8861.99,14254.9,8492.21,8732.25,5076.64,9886.71,6694.6
8176.83,5688.48,11609.2,8677.91,14019.7,8389.73,8642.44,5061.49,9800.66,6557.65
8167.07,5673.81,11729.5,8671.25,14088.1,8274.29,8660.31,4975.27,9396.81,6509.49
7878.55,5486.12,11611.2,8340.75,13830.4,8030.33,8547.48,4762.78,10882.5,6366.04
7847.65,5449.33,11514.7,8326.09,13760.3,7942.12,8478.77,4736.37,9330.85,6362.96
8079.87,5775.54,11725.2,8856.61,14416.9,8527.37,8534.36,5031.84,9820.23,6661.76
7834.44,5341.18,11296.9,8126.42,13471.3,7853.28,8157.73,4756.87,8983.36,6214.72
7929.65,5753.71,11492.6,8807.89,14027.8,8652.83,8449.4,4918.89,9619,6589.56
8047.08,5490.17,11811.5,8371.17,14020.9,7972.62,8286.13,4860.27,9775.13,6521.1
8185.81,6258.36,12242.6,8984.32,14456.4,8613.21,8249.72,5401.83,9378.63,6866.06
8241.93,6336.89,12030.9,9082.21,14668.2,8695.88,8363.39,5502.9,9668.38,6904.9
8135.7,5659.81,11537.7,8569.41,13981.3,8025.8,8314.34,4834.5,9314.33,6481.76
8097.3,6145.94,11905.7,8807.2,14481.3,8394.94,8329.1,5360.66,9911.28,7134.95
8675.5,6308.18,12252.5,9054.37,14518.3,8683.71,8184.35,5479.6,9226.19,6921.54
8166.47,5579.81,11568.2,8461.02,13853.6,8137.9,8328.08,5626.2,9158.48,6538.93
8301.3,5505.18,11514.1,8397.97,13863.8,8038.11,8454.52,4959.12,9278.17,6376.37
7841.55,5507.49,11388.6,8425.07,13803.5,8241.24,8427.62,4791.32,9401.47,6346.49
8126.4,5688.83,11795,8663.37,14235.6,8275.87,8467.66,4969.27,9485.75,6514.94
7762.31,5679.24,11511.3,8560.45,13892.8,8164.49,8173.22,4857.89,9070.11,6425.27
7940.76,5646.62,11692.5,8562.34,14023,8213.63,8624.38,4991.05,10237.6,6463.21
7454.95,5201.89,11233.9,7941.89,13412.4,7675.85,8316.3,5124.88,9443.15,5945.8
7849,5487.62,12061,8365.17,13770,8008.08,8208.9,4841.76,9350.29,6297.38
8111.67,5755,11618.5,8721.46,14174.9,8433.76,8885.42,5034.13,9383.82,6676.1
8277.65,5579.61,11626,8451.07,13899.1,8199.01,8295.85,4877.34,9458.16,6373.1
8228.28,5631.69,11588,8581.1,14040.1,8280.53,8616.38,4904.22,9417.89,6486.83
