Count,Scattered-Aos,Pooled-Aos,Scattered-Mixed,Pooled-Mixed,Scattered-Soa,Pooled-Soa
1e5,1.24104e+07,1.22228e+07,9.59964e+06,9.46322e+06,1.13369e+07,1.13129e+07
2e5,2.493e+07,2.4479e+07,1.92449e+07,1.89028e+07,2.26693e+07,2.26422e+07
3e5,3.70981e+07,3.67112e+07,2.87072e+07,2.84068e+07,3.60195e+07,3.38926e+07
4e5,4.95002e+07,4.89868e+07,3.8504e+07,3.77569e+07,4.79403e+07,4.51148e+07
5e5,6.20115e+07,6.33574e+07,4.79767e+07,4.70854e+07,6.00654e+07,5.63469e+07
6e5,7.48279e+07,7.99346e+07,5.75176e+07,5.63642e+07,7.24684e+07,6.75802e+07
7e5,8.67194e+07,8.55559e+07,6.74068e+07,6.59019e+07,7.9373e+07,7.89127e+07
8e5,9.90166e+07,9.77278e+07,7.69036e+07,7.5304e+07,9.59968e+07,9.04381e+07
9e5,1.11331e+08,1.10611e+08,8.68038e+07,8.45026e+07,1.02146e+08,1.01519e+08
1e6,1.24117e+08,1.22532e+08,9.61524e+07,9.40267e+07,1.13347e+08,1.13048e+08
