desktop-one,desktop-many,laptop-one,laptop-many,graphic-one,graphic-many,ray-one,ray-many,voxel-one,voxel-many
7428.81,4984.3,10821.9,7770.85,13312.1,7347.08,8603.5,4140.12,9394.26,6357.59
7672.63,5051.66,11119,8456.99,13175.3,7426.5,8348.62,4486.11,8995.48,6149.51
7507,4911.13,10599.9,7696.26,12944.7,7266.57,8481.24,4164.34,9437.44,5798.41
7582.91,4992.26,11179.3,7749.76,13133.6,7346.2,8647,4241.33,9294.09,5840.97
7865.56,4992.79,10683.3,7743.94,13081.2,7439.15,8181.12,4137.03,9363.37,5857.47
7194.63,4980.65,10760,7730.48,13059.5,7363.72,8330.48,4223.19,9251.55,5858.22
7603.93,4979.84,10828.7,7733.1,13155.8,7362.77,8430.23,4156.69,9191.16,5879.49
7602.47,5342.63,11315.1,8109.93,13843.6,7983.06,8572.43,4750.32,9258.12,6226.46
9235.69,8319.84,14781.5,11868.6,16070.7,11504.6,9968.52,7255.9,10594.3,8974.27
7171.75,4955.57,10687.6,7670.83,13123.9,7275.96,8458.82,4374.02,9317.46,5809.34
7897.79,4984.22,10692.4,7810.05,13099.9,7396.37,8545.83,4235.65,9532.92,6336.83
7857.8,4903.73,10527.1,7605.11,12850.4,7299.74,8381.44,4139.02,9046.1,5733.19
7511.51,4949.93,11060.8,7729.62,13088,7338.32,8603.34,4156.13,9382.19,5789.1
7490.55,5051.17,11973.7,7832.77,13249.8,7452.65,8669.66,4472.7,8945.47,5904.35
7227.29,4896.21,10601.7,7625.92,12910.2,7198.03,8337.73,4301.64,9143.9,5698.19
7315.79,5015.63,10816.8,7807.94,13195.9,7405.88,8454.11,4278.89,9331.83,5842.79
7810.3,4973.98,10606.5,7730.68,13017.1,7281.29,8244.88,4113.53,9660.88,5811.02
7621.38,4965.3,10676.7,7706.28,13067.6,7308.55,8341.26,4177.09,9129.29,5788.4
7794.26,4918.3,10738.5,7890.09,13140.6,7228.78,8248.71,4135.04,9389.54,5776.61
7344.59,4946.39,10625,7990.02,13211.3,7261.08,8636.31,4220.54,9567.83,5773.02
7697.24,4926.41,10843.5,7957.8,12907,7190.57,8408.74,4100.49,9146.17,5728.56
7653.66,4949.45,10659.8,7856.58,13008.1,7295.58,8410.3,4171.52,9173.71,6298.36
7287.23,4989.73,10651.2,8200.09,13094.4,7306.3,8336.74,4207.73,9307.47,5777.65
7741.17,4953.83,10916.9,7841.76,13200,7354.94,8457.65,4124.82,9344.34,5775.38
8005.06,4966.75,10794.8,7728.42,13130.1,7303.79,8343.76,4208.1,9070.19,5949.17
7351.16,4823.77,10729.2,7605.26,12944.6,7203.3,8604.78,4377.4,9133.2,5674.43
7694.1,4958.11,10682.4,7601.51,13019.6,7248.85,8432.55,4350.73,10584.9,5771.39
7534.36,4986.77,10819.2,7730.6,13114.3,7362.62,8510.41,4331.4,11858.4,6354.31
7625.89,4959.19,10759.1,7775.19,13127.2,7345.02,8548.2,4155.64,9393.75,5802.85
7935.06,5803.47,11603.6,8871.21,14150.6,8385.55,8541.27,5087.99,10420.9,6553.45
