2019-09-01 16:40:09
Running ./bench
Run on (8 X 4000 MHz CPU s)
CPU Caches:
  L1 Data 32K (x4)
  L1 Instruction 32K (x4)
  L2 Unified 256K (x4)
  L3 Unified 8192K (x1)
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_DoorsOnePool/Mersenne seed:14159/Allegiance probability:50",93595,7426.48,7428.81,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:14159/Allegiance probability:70",92010,7583.95,7568.77,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:14159/Allegiance probability:90",78422,8919.75,8906.74,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:26535/Allegiance probability:50",90808,7668.51,7672.63,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:26535/Allegiance probability:70",86394,8075.57,8079.71,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:26535/Allegiance probability:90",74208,9397.34,9401.19,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:89793/Allegiance probability:50",92363,7511.06,7507,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:89793/Allegiance probability:70",88359,7973.44,7977.96,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:89793/Allegiance probability:90",75243,9281.84,9286.32,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:23846/Allegiance probability:50",93246,7578.39,7582.91,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:23846/Allegiance probability:70",86309,8089.46,8096.9,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:23846/Allegiance probability:90",76683,9092.16,9097.27,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:26433/Allegiance probability:50",88572,7858.85,7865.56,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:26433/Allegiance probability:70",82135,8572.09,8577.81,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:26433/Allegiance probability:90",74981,9307.87,9315.04,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:83279/Allegiance probability:50",97028,7189.54,7194.63,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:83279/Allegiance probability:70",88135,7824.12,7829.98,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:83279/Allegiance probability:90",78577,8850.57,8856.19,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:50288/Allegiance probability:50",91090,7599.63,7603.93,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:50288/Allegiance probability:70",91533,7598.79,7602.47,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:50288/Allegiance probability:90",75322,9227.68,9235.69,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:41971/Allegiance probability:50",97473,7166.97,7171.75,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:41971/Allegiance probability:70",86296,8105.1,8099.65,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:41971/Allegiance probability:90",76392,9134.78,9139.78,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:69399/Allegiance probability:50",88716,7900.16,7897.79,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:69399/Allegiance probability:70",84689,8198.25,8203.1,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:69399/Allegiance probability:90",76433,9133,9138.01,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:37510/Allegiance probability:50",88768,7853.05,7857.8,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:37510/Allegiance probability:70",86635,8022.67,8027.67,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:37510/Allegiance probability:90",71132,9821.29,9826.22,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:58209/Allegiance probability:50",95791,7506.86,7511.51,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:58209/Allegiance probability:70",86710,8115.52,8121.25,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:58209/Allegiance probability:90",78151,8932.77,8937.83,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:74944/Allegiance probability:50",93189,7483.72,7490.55,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:74944/Allegiance probability:70",84925,8212.64,8226.1,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:74944/Allegiance probability:90",72830,9580.81,9589.01,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:59230/Allegiance probability:50",96626,7220.9,7227.29,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:59230/Allegiance probability:70",86698,8054.55,8060.72,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:59230/Allegiance probability:90",74861,9327.37,9332.55,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:78164/Allegiance probability:50",95239,7310.95,7315.79,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:78164/Allegiance probability:70",85028,8199.94,8205.37,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:78164/Allegiance probability:90",74451,9357.28,9362.66,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:6286/Allegiance probability:50",88945,7804.83,7810.3,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:6286/Allegiance probability:70",88680,8088.46,8099.19,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:6286/Allegiance probability:90",76135,9165.4,9172.58,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:20899/Allegiance probability:50",90444,7614.44,7621.38,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:20899/Allegiance probability:70",84133,8315.36,8325.2,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:20899/Allegiance probability:90",74523,9329.55,9334.59,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:86280/Allegiance probability:50",89687,7788.43,7794.26,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:86280/Allegiance probability:70",89347,7815.61,7822.26,ns,,,,,
