2019-09-01 16:39:01
Running ./bench
Run on (8 X 3700 MHz CPU s)
CPU Caches:
  L1 Data 32K (x4)
  L1 Instruction 32K (x4)
  L2 Unified 256K (x4)
  L3 Unified 10240K (x1)
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_DoorsOnePool/Mersenne seed:14159/Allegiance probability:50",51940,13499.9,13312.1,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:14159/Allegiance probability:70",51697,13722.2,13553.7,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:14159/Allegiance probability:90",40740,17330.1,17286.4,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:26535/Allegiance probability:50",53208,13171.7,13175.3,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:26535/Allegiance probability:70",48476,14435.7,14440.8,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:26535/Allegiance probability:90",36467,19180.1,19184.9,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:89793/Allegiance probability:50",54015,12939.6,12944.7,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:89793/Allegiance probability:70",49151,14245.1,14249.6,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:89793/Allegiance probability:90",38367,18244.5,18248.6,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:23846/Allegiance probability:50",53310,13130.1,13133.6,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:23846/Allegiance probability:70",46701,14931.1,14934.8,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:23846/Allegiance probability:90",39552,17585.6,17588.9,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:26433/Allegiance probability:50",53697,13075.9,13081.2,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:26433/Allegiance probability:70",48558,14469.4,14475.3,ns,,,,,
