2019-09-04 15:36:24
Running ./bench
Run on (4 X 3200 MHz CPU s)
CPU Caches:
  L1 Data 32K (x2)
  L1 Instruction 32K (x2)
  L2 Unified 256K (x2)
  L3 Unified 3072K (x1)
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_DoorsOnePool/Mersenne seed:14159/Allegiance probability:50",62952,10818,10821.9,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:14159/Allegiance probability:70",61802,11205.9,11207.4,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:14159/Allegiance probability:90",50163,13680,13682.9,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:26535/Allegiance probability:50",62520,11116.9,11119,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:26535/Allegiance probability:70",56970,11964.3,11966.6,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:26535/Allegiance probability:90",47505,14585.7,14587.8,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:89793/Allegiance probability:50",64640,10597.2,10599.9,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:89793/Allegiance probability:70",58310,11690.9,11692.8,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:89793/Allegiance probability:90",48343,14327.6,14331.1,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:23846/Allegiance probability:50",60603,11177.4,11179.3,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:23846/Allegiance probability:70",56694,12084.9,12087.2,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:23846/Allegiance probability:90",49153,14012.9,14015.6,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:26433/Allegiance probability:50",64375,10682,10683.3,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:26433/Allegiance probability:70",57534,11987.9,11989.6,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:26433/Allegiance probability:90",46029,14946.4,14947.4,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:83279/Allegiance probability:50",63975,10758.3,10760,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:83279/Allegiance probability:70",59249,11521.3,11524.1,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:83279/Allegiance probability:90",51482,13433.6,13435.7,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:50288/Allegiance probability:50",63560,10826,10828.7,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:50288/Allegiance probability:70",61385,11311.5,11315.1,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:50288/Allegiance probability:90",47024,14778.5,14781.5,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:41971/Allegiance probability:50",64441,10685.5,10687.6,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:41971/Allegiance probability:70",57347,11879.2,11881.5,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:41971/Allegiance probability:90",49350,14092.1,14096.7,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:69399/Allegiance probability:50",63278,10690.1,10692.4,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:69399/Allegiance probability:70",60355,11437.4,11441.8,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:69399/Allegiance probability:90",47229,15457.8,15457.4,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:37510/Allegiance probability:50",65353,10528.3,10527.1,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:37510/Allegiance probability:70",57640,11887.6,11884.3,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:37510/Allegiance probability:90",46931,14671.4,14669.3,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:58209/Allegiance probability:50",62016,11065,11060.8,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:58209/Allegiance probability:70",55107,11821.3,11825.5,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:58209/Allegiance probability:90",50948,13691.8,13695.1,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:74944/Allegiance probability:50",60921,11971.1,11973.7,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:74944/Allegiance probability:70",55367,12363.8,12366.5,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:74944/Allegiance probability:90",46832,14831.1,14834.9,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:59230/Allegiance probability:50",65294,10599.9,10601.7,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:59230/Allegiance probability:70",58019,11786.9,11789,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:59230/Allegiance probability:90",48182,14369.2,14373,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:78164/Allegiance probability:50",63809,10814.4,10816.8,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:78164/Allegiance probability:70",56086,12332.7,12334.2,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:78164/Allegiance probability:90",47452,14541,14542.7,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:6286/Allegiance probability:50",64910,10604.5,10606.5,ns,,,,,
