2019-09-01 16:39:04
Running ./bench
Run on (8 X 4500 MHz CPU s)
CPU Caches:
  L1 Data 32K (x4)
  L1 Instruction 32K (x4)
  L2 Unified 256K (x4)
  L3 Unified 8192K (x1)
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_DoorsOnePool/Mersenne seed:14159/Allegiance probability:50",80581,8572.69,8603.5,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:14159/Allegiance probability:70",82293,8469.02,8493.48,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:14159/Allegiance probability:90",81742,8685.46,8712.65,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:26535/Allegiance probability:50",84241,8317.92,8348.62,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:26535/Allegiance probability:70",83092,8414.48,8444.82,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:26535/Allegiance probability:90",73385,9498.77,9530.61,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:89793/Allegiance probability:50",82423,8461.09,8481.24,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:89793/Allegiance probability:70",82008,8468.18,8487.07,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:89793/Allegiance probability:90",73794,9427.62,9446.47,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:23846/Allegiance probability:50",82434,8612.29,8647,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:23846/Allegiance probability:70",80997,8686.28,8718.48,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:23846/Allegiance probability:90",79008,8804.1,8823.63,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:26433/Allegiance probability:50",85333,8162.19,8181.12,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:26433/Allegiance probability:70",81892,8530.64,8560.6,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:26433/Allegiance probability:90",72197,9463.34,9494.04,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:83279/Allegiance probability:50",84185,8303.95,8330.48,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:83279/Allegiance probability:70",82006,8526.46,8549.01,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:83279/Allegiance probability:90",75218,9286.45,9318.48,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:50288/Allegiance probability:50",83076,8399.98,8430.23,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:50288/Allegiance probability:70",82672,8541.29,8572.43,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:50288/Allegiance probability:90",70585,9944.8,9968.52,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:41971/Allegiance probability:50",79915,8426.28,8458.82,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:41971/Allegiance probability:70",82377,8468.77,8498.39,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:41971/Allegiance probability:90",71090,9828.08,9858.05,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:69399/Allegiance probability:50",81333,8516.02,8545.83,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:69399/Allegiance probability:70",81359,8498.26,8527.09,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:69399/Allegiance probability:90",73542,9513.63,9545.92,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:37510/Allegiance probability:50",83473,8341.65,8381.44,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:37510/Allegiance probability:70",84035,8443.45,8474.93,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:37510/Allegiance probability:90",74105,9419.43,9448.77,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:58209/Allegiance probability:50",81667,8570.17,8603.34,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:58209/Allegiance probability:70",84772,8223.3,8253.85,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:58209/Allegiance probability:90",79692,8825.8,8858.04,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:74944/Allegiance probability:50",83084,8637.51,8669.66,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:74944/Allegiance probability:70",76713,9048.08,9070.71,ns,,,,,
