2019-05-03 17:26:30
Running ./bench
Run on (8 X 3700 MHz CPU s)
CPU Caches:
  L1 Data 32K (x4)
  L1 Instruction 32K (x4)
  L2 Unified 256K (x4)
  L3 Unified 10240K (x1)
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_DoorsOnePool/Mersenne seed:1415926535/Allegiance probability:50",54449,12868.1,12870.4,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:1415926535/Allegiance probability:70",49916,14027.1,14028.9,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:1415926535/Allegiance probability:90",44488,15736.2,15738.4,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:389389254/Allegiance probability:50",53202,13156.7,13158.5,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:389389254/Allegiance probability:70",49140,14235.3,14236.9,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:389389254/Allegiance probability:90",39961,17471.5,17473.5,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:-1651584017/Allegiance probability:50",54095,12943.6,12945.9,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:-1651584017/Allegiance probability:70",52254,13401.2,13403,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:-1651584017/Allegiance probability:90",42524,16469.1,16471.3,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:733874675/Allegiance probability:50",52465,13344.6,13346.7,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:733874675/Allegiance probability:70",48041,14584.5,14587,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:733874675/Allegiance probability:90",37713,18580.8,18583.6,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:-1649997082/Allegiance probability:50",54134,12936.4,12938.3,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:-1649997082/Allegiance probability:70",48347,14285.9,14287.6,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:-1649997082/Allegiance probability:90",39767,17574.7,17576.7,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:1526007648/Allegiance probability:50",54236,12877,12878.9,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:1526007648/Allegiance probability:70",51286,13535.1,13537.6,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:1526007648/Allegiance probability:90",44214,15762.3,15764.5,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:1628110868/Allegiance probability:50",55360,12641.2,12643.1,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:1628110868/Allegiance probability:70",47982,14577.3,14579.1,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:1628110868/Allegiance probability:90",41167,17000.9,17002.8,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:628620899/Allegiance probability:50",54017,12954.6,12956.8,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:628620899/Allegiance probability:70",50424,13878.9,13880.8,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:628620899/Allegiance probability:90",42880,16207.8,16209.7,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:38100233/Allegiance probability:50",53885,12974.1,12975.8,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:38100233/Allegiance probability:70",50567,13847.3,13849.1,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:38100233/Allegiance probability:90",41214,17019.3,17022.8,ns,,,,,
