2019-09-01 16:39:06
Running ./bench
Run on (8 X 4000 MHz CPU s)
CPU Caches:
  L1 Data 32K (x4)
  L1 Instruction 32K (x4)
  L2 Unified 256K (x4)
  L3 Unified 8192K (x1)
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_DoorsOnePool/Mersenne seed:14159/Allegiance probability:50",73033,9352.25,9394.26,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:14159/Allegiance probability:70",74731,9316.32,9359.22,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:14159/Allegiance probability:90",62697,11068.2,11110.3,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:26535/Allegiance probability:50",78243,8952.99,8995.48,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:26535/Allegiance probability:70",74887,9305.24,9347.45,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:26535/Allegiance probability:90",69862,10002,10043.5,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:89793/Allegiance probability:50",73920,9394.43,9437.44,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:89793/Allegiance probability:70",72171,9640.64,9681.99,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:89793/Allegiance probability:90",62966,10999.8,11040.5,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:23846/Allegiance probability:50",75384,9253.36,9294.09,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:23846/Allegiance probability:70",69713,10075.4,10111.9,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:23846/Allegiance probability:90",65335,10278,10315.7,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:26433/Allegiance probability:50",72836,9325.85,9363.37,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:26433/Allegiance probability:70",75718,9285.22,9323.14,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:26433/Allegiance probability:90",64104,10543.7,10584.1,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:83279/Allegiance probability:50",75887,9210.78,9251.55,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:83279/Allegiance probability:70",75158,9277.1,9318.68,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:83279/Allegiance probability:90",68338,10199.4,10237.7,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:50288/Allegiance probability:50",76464,9147.96,9191.16,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:50288/Allegiance probability:70",75554,9216.89,9258.12,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:50288/Allegiance probability:90",66055,10563.5,10594.3,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:41971/Allegiance probability:50",75183,9276.91,9317.46,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:41971/Allegiance probability:70",73879,9437.68,9478.35,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:41971/Allegiance probability:90",64434,10797.7,10839.7,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:69399/Allegiance probability:50",73266,9490.51,9532.92,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:69399/Allegiance probability:70",74531,9354.3,9396.69,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:69399/Allegiance probability:90",67527,10372.3,10414.2,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:37510/Allegiance probability:50",77401,9003.4,9046.1,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:37510/Allegiance probability:70",71140,9948.59,9991.47,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:37510/Allegiance probability:90",63924,10711.3,10719,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:58209/Allegiance probability:50",74601,9340.84,9382.19,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:58209/Allegiance probability:70",75554,9214.11,9257.26,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:58209/Allegiance probability:90",69685,10020.8,10063.3,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:74944/Allegiance probability:50",78035,8904.5,8945.47,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:74944/Allegiance probability:70",75346,9275.36,9316.15,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:74944/Allegiance probability:90",66899,10420.9,10462.5,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:59230/Allegiance probability:50",76546,9101.96,9143.9,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:59230/Allegiance probability:70",73583,9349.85,9392.34,ns,,,,,
