2019-05-03 17:24:01
Running ./bench
Run on (8 X 4000 MHz CPU s)
CPU Caches:
  L1 Data 32K (x4)
  L1 Instruction 32K (x4)
  L2 Unified 256K (x4)
  L3 Unified 8192K (x1)
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_DoorsOnePool/Mersenne seed:1415926535/Allegiance probability:50",78493,9234.43,9271.73,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:1415926535/Allegiance probability:70",76446,9634.84,9670.22,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:1415926535/Allegiance probability:90",59059,10130,10162.5,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:389389254/Allegiance probability:50",76883,9565.1,9600.81,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:389389254/Allegiance probability:70",75427,9591.22,9628.84,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:389389254/Allegiance probability:90",65668,11035.2,11074.5,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:-1651584017/Allegiance probability:50",77458,9345.42,9383.93,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:-1651584017/Allegiance probability:70",73456,9550.47,9589.52,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:-1651584017/Allegiance probability:90",55830,9764.06,9803.22,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:733874675/Allegiance probability:50",77547,9136.68,9175.14,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:733874675/Allegiance probability:70",71789,9922.18,9959.7,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:733874675/Allegiance probability:90",59922,12135.7,12174.6,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:-1649997082/Allegiance probability:50",76615,9531.78,9570.58,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:-1649997082/Allegiance probability:70",73620,9651.4,9692.97,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:-1649997082/Allegiance probability:90",51233,10876.2,10915.9,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:1526007648/Allegiance probability:50",77869,9055.22,9094.28,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:1526007648/Allegiance probability:70",77739,9223.4,9260.71,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:1526007648/Allegiance probability:90",68057,10372.6,10409.1,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:1628110868/Allegiance probability:50",79430,9100.7,9139.07,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:1628110868/Allegiance probability:70",71312,9478.42,9516.43,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:1628110868/Allegiance probability:90",61702,10260.5,10299.1,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:628620899/Allegiance probability:50",56038,10258,10288,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:628620899/Allegiance probability:70",68649,9739.11,9777.48,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:628620899/Allegiance probability:90",66397,11320.5,11352.5,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:38100233/Allegiance probability:50",72476,9746.08,9784.75,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:38100233/Allegiance probability:70",61090,9203.58,9241.88,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:38100233/Allegiance probability:90",65900,10208.4,10247.3,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:-873796617/Allegiance probability:50",73785,9484.29,9522.26,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:-873796617/Allegiance probability:70",74030,9977.84,10016.4,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:-873796617/Allegiance probability:90",65092,11347,11385.9,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:-375125941/Allegiance probability:50",75553,9344.33,9383.23,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:-375125941/Allegiance probability:70",66384,9035.84,9074.38,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:-375125941/Allegiance probability:90",63425,11119.3,11159,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:-1012660649/Allegiance probability:50",77557,9253.93,9292.41,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:-1012660649/Allegiance probability:70",74096,9226.03,9265.81,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:-1012660649/Allegiance probability:90",67253,11189.9,11230.9,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:938446095/Allegiance probability:50",78070,9236.95,9275.07,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:938446095/Allegiance probability:70",62592,9398.75,9437.29,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:938446095/Allegiance probability:90",68334,10459.4,10498.2,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:763255876/Allegiance probability:50",76862,9316.87,9354.98,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:763255876/Allegiance probability:70",72742,9557.39,9595.21,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:763255876/Allegiance probability:90",62065,11876.3,11916.2,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:1064440832/Allegiance probability:50",76812,9279.01,9318.71,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:1064440832/Allegiance probability:70",60212,9159.65,9198.15,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:1064440832/Allegiance probability:90",66655,10889,10927.1,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:516207206/Allegiance probability:50",55159,11210.7,11235.9,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:516207206/Allegiance probability:70",74907,9395.52,9434.34,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:516207206/Allegiance probability:90",64388,11136.8,11175.3,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:-179664399/Allegiance probability:50",74825,9248.74,9288.44,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:-179664399/Allegiance probability:70",74968,9564.66,9605.4,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:-179664399/Allegiance probability:90",69872,10354.7,10393.8,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:-68829033/Allegiance probability:50",77340,9227.08,9265.95,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:-68829033/Allegiance probability:70",72568,9638.8,9676.64,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:-68829033/Allegiance probability:90",58071,12332.7,12373,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:-2143705103/Allegiance probability:50",77595,11176.2,11200.1,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:-2143705103/Allegiance probability:70",74091,9574.48,9613.04,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:-2143705103/Allegiance probability:90",58530,10817.7,10859.9,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:1198070900/Allegiance probability:50",75683,9742.32,9781.46,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:1198070900/Allegiance probability:70",70634,9507.62,9546.44,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:1198070900/Allegiance probability:90",43696,13396.3,13421.8,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:133843679/Allegiance probability:50",72842,9865.8,9905.77,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:133843679/Allegiance probability:70",76869,9166.72,9205.86,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:133843679/Allegiance probability:90",60342,10066.6,10105.9,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:-1930600131/Allegiance probability:50",77006,9552.99,9590.17,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:-1930600131/Allegiance probability:70",75453,9646.97,9686.67,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:-1930600131/Allegiance probability:90",68980,10609.1,10646.8,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:-1447402473/Allegiance probability:50",76606,9507.18,9546.37,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:-1447402473/Allegiance probability:70",74458,9518.42,9556.51,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:-1447402473/Allegiance probability:90",61906,12118.8,12150.1,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:-508184131/Allegiance probability:50",69471,9498.39,9538.2,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:-508184131/Allegiance probability:70",75614,9751.82,9792.47,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:-508184131/Allegiance probability:90",60697,11358,11390,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:-1582948205/Allegiance probability:50",75857,9455.38,9493.68,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:-1582948205/Allegiance probability:70",77461,9190.64,9233.03,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:-1582948205/Allegiance probability:90",69920,10002.8,10040.9,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:269889396/Allegiance probability:50",71577,9448.3,9488.35,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:269889396/Allegiance probability:70",76498,9395.84,9434.27,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:269889396/Allegiance probability:90",54579,13461.9,13495.6,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:-834618686/Allegiance probability:50",76366,9177.45,9216.66,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:-834618686/Allegiance probability:70",77376,9472.08,9509.44,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:-834618686/Allegiance probability:90",66447,11271.8,11276.5,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:248299186/Allegiance probability:50",75680,10625.2,10653,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:248299186/Allegiance probability:70",74701,11412.9,11439.7,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:248299186/Allegiance probability:90",60919,11360.1,11398.7,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:1339360726/Allegiance probability:50",73087,9076.14,9113.81,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:1339360726/Allegiance probability:70",74355,9467.81,9506.22,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:1339360726/Allegiance probability:90",59061,12566.1,12593.8,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:249141273/Allegiance probability:50",61563,9577.21,9615.6,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:249141273/Allegiance probability:70",73070,9616.76,9654.9,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:249141273/Allegiance probability:90",62422,10478.4,10517.7,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:-1344064526/Allegiance probability:50",76704,9551.21,9589.95,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:-1344064526/Allegiance probability:70",76775,9737.86,9774.57,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:-1344064526/Allegiance probability:90",71617,10078.8,10117.2,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:631558817/Allegiance probability:50",80405,9013.59,9050.97,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:631558817/Allegiance probability:70",74762,9778.3,9816.24,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:631558817/Allegiance probability:90",69323,10191.1,10229.3,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:586553624/Allegiance probability:50",60868,9569.41,9608.16,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:586553624/Allegiance probability:70",77233,9268.04,9307.13,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:586553624/Allegiance probability:90",64201,10669.3,10708.1,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:1038357948/Allegiance probability:50",76249,9262.16,9300.89,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:1038357948/Allegiance probability:70",75224,9429.35,9469.2,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:1038357948/Allegiance probability:90",71578,9705.48,9746.05,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:581601844/Allegiance probability:50",71304,9414.33,9453.65,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:581601844/Allegiance probability:70",75723,9438.66,9476.48,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:581601844/Allegiance probability:90",63878,10815.9,10846.7,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:-697344232/Allegiance probability:50",75715,9359.07,9398.31,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:-697344232/Allegiance probability:70",75945,9476.05,9514.98,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:-697344232/Allegiance probability:90",65548,11048.5,11088.1,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:113305305/Allegiance probability:50",70181,8962.55,9000.76,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:113305305/Allegiance probability:70",76738,9405.75,9439.64,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:113305305/Allegiance probability:90",59539,9890.96,9930.42,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:587079356/Allegiance probability:50",79635,8960.84,8999.35,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:587079356/Allegiance probability:70",76272,9281.39,9320.13,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:587079356/Allegiance probability:90",61258,11071.1,11102.4,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:1384146951/Allegiance probability:50",74588,9094.65,9131.85,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:1384146951/Allegiance probability:70",78815,8982.37,9020.11,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:1384146951/Allegiance probability:90",66165,10512.7,10551.3,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:825181502/Allegiance probability:50",79083,9002.46,9042.03,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:825181502/Allegiance probability:70",75197,9499.6,9538.9,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:825181502/Allegiance probability:90",63824,12706.1,12734.6,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:-989240260/Allegiance probability:50",74575,8721.07,8758.64,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:-989240260/Allegiance probability:70",74276,9154.39,9192.48,ns,,,,,
"BM_DoorsOnePool/Mersenne seed:-989240260/Allegiance probability:90",64841,10740.4,10777.4,ns,,,,,
