desktop-one-pool,desktop-many-pools,desktop-many-pools-soa,laptop-one-pool,laptop-many-pools,laptop-many-pools-soa,graphic-one-pool,graphic-many-pools,graphic-many-pools-soa,ray-one-pool,ray-many-pools,ray-many-pools-soa,voxel-one-pool,voxel-many-pools,voxel-many-pools-soa
217942,95320.4,96039.4,284428,103248,103644,249061,86702,86825.4,165870,70433.1,69652.5,236334,77212.9,81723.9
216448,95443.3,97073.9,286714,103560,104897,247874,87052,87445.6,163480,70735.3,70090.2,236131,80116,78433.6
218423,95857.6,97024.8,285128,105205,104666,248273,87288.2,87963,165631,71632.1,70326.9,236413,77579.1,79147.3
218881,96107.5,97157.9,286059,104274,106053,252089,87517.4,88134.9,164324,71246.8,70466,236527,77891.3,85942.7
218122,95460,96483.1,287294,103041,104395,248730,87129.3,87183.3,163110,72226.2,70260.4,236317,77356.8,78308.1
219063,96420.4,97768,285548,104882,107464,275750,87579.6,88027.9,163731,70953.2,70987.7,236668,78166.1,79570.8
217454,95778.2,97045.1,287748,103897,104980,247243,87220.3,87722.7,163094,70938.8,70285.3,237716,81097,79182.3
219499,96020.3,97413.2,285581,104313,104954,254386,87412.9,87916.8,164433,70910.5,70536.8,236149,77788.8,79861.4
217950,95986.9,97276.1,284746,104301,104611,248943,87836.7,87885.6,163816,71071.3,70666.7,252024,77663.9,83086.9
218527,96451.2,97686.3,286090,104413,105756,248797,87728.7,88620.8,164340,72300.1,70967.3,264474,78068.5,80977.1
218947,96061.2,97018.9,285176,104177,105069,247382,87648.6,88299.5,164057,71051,70552.4,285486,78095.6,79108.6
216253,94678.9,95619.8,283900,102226,103167,249190,86279.2,86288.5,162505,70272.9,69155,236241,76969.9,78826.1
216935,94946.1,96010.3,285136,102544,103400,246873,86591.5,86447.9,161718,70588.9,69305.1,236244,77300.9,77937.4
216441,94842.2,96067.6,284006,102514,103499,247878,86519.5,87171.6,168205,70117.2,69486.5,236846,76663.8,78268.3
215812,95278.1,96435,284928,103195,104058,248676,86764,87286.7,162591,70719.5,69972.7,236249,77249.6,78479.9
219170,96097,97561,285899,104401,105636,248609,87505.2,87824,164663,71617.8,70745.4,236475,77922.3,79390.3
217750,96269.7,97272,283653,104970,105297,246854,87558.9,88349.6,166425,72075.4,70754.2,237514,78065.8,79273.7
216742,95667.9,96879,284112,103458,104592,246643,87025.2,87451.5,163311,70743.8,70604,236544,77467.9,78594.4
217896,96375.9,97727.2,286470,104855,105317,246852,87694.1,88384,163860,71488,71046.4,236648,77987.8,79506.2
218235,96294.9,97874.3,284285,104463,105477,249300,87579.6,88543.8,164497,71431.7,71479.8,237578,78120,79781.2
