2019-09-01 16:59:19
Running ./bench
Run on (8 X 4000 MHz CPU s)
CPU Caches:
  L1 Data 32K (x4)
  L1 Instruction 32K (x4)
  L2 Unified 256K (x4)
  L3 Unified 8192K (x1)
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"Fixture/AosOnePool/5000/14159",3211,217962,217942,ns,,,,,
"Fixture/AosOnePool/5000/26535",3229,216468,216448,ns,,,,,
"Fixture/AosOnePool/5000/89793",3202,218443,218423,ns,,,,,
"Fixture/AosOnePool/5000/23846",3196,218902,218881,ns,,,,,
"Fixture/AosOnePool/5000/26433",3205,218142,218122,ns,,,,,
"Fixture/AosOnePool/5000/83279",3190,219084,219063,ns,,,,,
"Fixture/AosOnePool/5000/50288",3218,217475,217454,ns,,,,,
"Fixture/AosOnePool/5000/41971",3187,219520,219499,ns,,,,,
"Fixture/AosOnePool/5000/69399",3211,217970,217950,ns,,,,,
"Fixture/AosOnePool/5000/37510",3203,218549,218527,ns,,,,,
"Fixture/AosOnePool/5000/58209",3199,218967,218947,ns,,,,,
"Fixture/AosOnePool/5000/74944",3233,216273,216253,ns,,,,,
"Fixture/AosOnePool/5000/59230",3225,216957,216935,ns,,,,,
"Fixture/AosOnePool/5000/78164",3228,216461,216441,ns,,,,,
"Fixture/AosOnePool/5000/6286",3244,215832,215812,ns,,,,,
"Fixture/AosOnePool/5000/20899",3193,219191,219170,ns,,,,,
"Fixture/AosOnePool/5000/86280",3217,217771,217750,ns,,,,,
"Fixture/AosOnePool/5000/34825",3222,216762,216742,ns,,,,,
"Fixture/AosOnePool/5000/34211",3212,217919,217896,ns,,,,,
"Fixture/AosOnePool/5000/70679",3207,218256,218235,ns,,,,,
"Fixture/AosOnePool/5000/82148",3247,214974,214954,ns,,,,,
"Fixture/AosOnePool/5000/8651",3211,217782,217762,ns,,,,,
"Fixture/AosOnePool/5000/32823",3244,215632,215612,ns,,,,,
"Fixture/AosOnePool/5000/6647",3231,216819,216799,ns,,,,,
"Fixture/AosOnePool/5000/9384",3213,217718,217698,ns,,,,,
"Fixture/AosOnePool/5000/46095",3241,215976,215955,ns,,,,,
"Fixture/AosOnePool/5000/50582",3199,218785,218764,ns,,,,,
"Fixture/AosOnePool/5000/23172",3201,218399,218379,ns,,,,,
"Fixture/AosOnePool/5000/53594",3212,218062,218042,ns,,,,,
"Fixture/AosOnePool/5000/8128",3227,217079,217059,ns,,,,,
"Fixture/AosOnePool/5000/48111",3195,218898,218877,ns,,,,,
"Fixture/AosOnePool/5000/74502",3216,217260,217238,ns,,,,,
"Fixture/AosOnePool/5000/84102",3220,217292,217272,ns,,,,,
"Fixture/AosOnePool/5000/70193",3197,219021,219001,ns,,,,,
"Fixture/AosOnePool/5000/85211",3211,218026,218005,ns,,,,,
"Fixture/AosOnePool/5000/5559",3224,217384,217363,ns,,,,,
"Fixture/AosOnePool/5000/64462",3218,217310,217289,ns,,,,,
"Fixture/AosOnePool/5000/29489",3232,216308,216288,ns,,,,,
"Fixture/AosOnePool/5000/54930",3195,219396,219125,ns,,,,,
"Fixture/AosOnePool/5000/38196",3230,216732,216473,ns,,,,,
"Fixture/AosOnePool/5000/44288",3223,217265,217003,ns,,,,,
"Fixture/AosOnePool/5000/10975",3234,216859,216424,ns,,,,,
"Fixture/AosOnePool/5000/66593",3227,217430,216987,ns,,,,,
"Fixture/AosOnePool/5000/34461",3208,218966,218533,ns,,,,,
"Fixture/AosOnePool/5000/28475",3211,218515,217990,ns,,,,,
"Fixture/AosOnePool/5000/64823",3201,218232,217777,ns,,,,,
"Fixture/AosOnePool/5000/37867",3206,218604,218163,ns,,,,,
"Fixture/AosOnePool/5000/83165",3198,219035,218629,ns,,,,,
"Fixture/AosOnePool/5000/27120",3193,219689,219269,ns,,,,,
"Fixture/AosOnePool/5000/19091",3227,217364,216864,ns,,,,,
"Fixture/AosOnePool/5000/45648",3204,218840,218431,ns,,,,,
"Fixture/AosOnePool/5000/56692",3203,219071,218652,ns,,,,,
"Fixture/AosOnePool/5000/34603",3226,217511,217089,ns,,,,,
"Fixture/AosOnePool/5000/48610",3254,215333,214891,ns,,,,,
"Fixture/AosOnePool/5000/45432",3228,217184,216929,ns,,,,,
"Fixture/AosOnePool/5000/66482",3213,218109,217837,ns,,,,,
"Fixture/AosOnePool/5000/13393",3204,218727,218357,ns,,,,,
"Fixture/AosOnePool/5000/60726",3207,218521,218263,ns,,,,,
"Fixture/AosOnePool/5000/2491",3224,217257,216997,ns,,,,,
"Fixture/AosOnePool/5000/41273",3213,218083,217640,ns,,,,,
"Fixture/AosOnePool/5000/72458",3224,217524,217068,ns,,,,,
"Fixture/AosOnePool/5000/70066",3197,219307,218791,ns,,,,,
"Fixture/AosOnePool/5000/6315",3219,218113,217684,ns,,,,,
"Fixture/AosOnePool/5000/58817",3233,216952,216511,ns,,,,,
"Fixture/AosOnePool/5000/48815",3220,218239,217803,ns,,,,,
"Fixture/AosOnePool/5000/20920",3203,218970,218538,ns,,,,,
"Fixture/AosOnePool/5000/96282",3219,217848,217349,ns,,,,,
"Fixture/AosOnePool/5000/92540",3234,217147,216736,ns,,,,,
"Fixture/AosOnePool/5000/91715",3211,218787,218298,ns,,,,,
"Fixture/AosOnePool/5000/36436",3242,216402,216001,ns,,,,,
"Fixture/AosOnePool/5000/78925",3227,217240,216827,ns,,,,,
"Fixture/AosOnePool/5000/90360",3246,216326,215884,ns,,,,,
"Fixture/AosOnePool/5000/1133",3193,219359,219099,ns,,,,,
"Fixture/AosOnePool/5000/5305",3206,218341,217996,ns,,,,,
"Fixture/AosOnePool/5000/48820",3209,218533,218258,ns,,,,,
"Fixture/AosOnePool/5000/46652",3188,219735,219463,ns,,,,,
"Fixture/AosOnePool/5000/13841",3214,218141,217883,ns,,,,,
"Fixture/AosOnePool/5000/46951",3200,219011,218666,ns,,,,,
"Fixture/AosOnePool/5000/94151",3220,217887,217347,ns,,,,,
"Fixture/AosOnePool/5000/16094",3228,217226,216799,ns,,,,,
"Fixture/AosOnePool/5000/33057",3244,216071,215560,ns,,,,,
"Fixture/AosOnePool/5000/27036",3243,216452,216009,ns,,,,,
"Fixture/AosOnePool/5000/57595",3239,216358,215914,ns,,,,,
"Fixture/AosOnePool/5000/91953",3235,216726,216296,ns,,,,,
"Fixture/AosOnePool/5000/9218",3205,218918,218506,ns,,,,,
"Fixture/AosOnePool/5000/61173",3204,218708,218190,ns,,,,,
"Fixture/AosOnePool/5000/81932",3209,218291,217871,ns,,,,,
"Fixture/AosOnePool/5000/61179",3233,217196,216793,ns,,,,,
"Fixture/AosOnePool/5000/31051",3189,219949,219528,ns,,,,,
"Fixture/AosOnePool/5000/18548",3241,216479,216040,ns,,,,,
"Fixture/AosOnePool/5000/7446",3246,215918,215663,ns,,,,,
"Fixture/AosOnePool/5000/23799",3241,216304,216047,ns,,,,,
"Fixture/AosOnePool/5000/62749",3222,217549,217193,ns,,,,,
