2019-06-13 18:38:47
Running ./bench
Run on (8 X 3800 MHz CPU s)
CPU Caches:
  L1 Data 32K (x4)
  L1 Instruction 32K (x4)
  L2 Unified 256K (x4)
  L3 Unified 10240K (x1)
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"Fixture/AosOnePool/5000/1415926535",2688,262565,262560,ns,,,,,
"Fixture/AosOnePool/5000/389389254",2710,258106,258103,ns,,,,,
"Fixture/AosOnePool/5000/-1651584017",2712,258482,258483,ns,,,,,
"Fixture/AosOnePool/5000/733874675",2727,256790,256789,ns,,,,,
"Fixture/AosOnePool/5000/-1649997082",2727,255927,255926,ns,,,,,
"Fixture/AosOnePool/5000/1526007648",2674,255945,255946,ns,,,,,
"Fixture/AosOnePool/5000/1628110868",2729,261170,261169,ns,,,,,
"Fixture/AosOnePool/5000/628620899",2735,256426,256426,ns,,,,,
"Fixture/AosOnePool/5000/38100233",2730,257341,257337,ns,,,,,
"Fixture/AosOnePool/5000/-873796617",2728,257519,257520,ns,,,,,
"Fixture/AosOnePool/5000/-375125941",2725,256864,256865,ns,,,,,
"Fixture/AosOnePool/5000/-1012660649",2719,257507,257505,ns,,,,,
"Fixture/AosOnePool/5000/938446095",2728,256829,256828,ns,,,,,
"Fixture/AosOnePool/5000/763255876",2731,264189,264190,ns,,,,,
"Fixture/AosOnePool/5000/1064440832",2733,256598,256599,ns,,,,,
"Fixture/AosOnePool/5000/516207206",2656,256821,256821,ns,,,,,
"Fixture/AosOnePool/5000/-179664399",2730,259506,259506,ns,,,,,
"Fixture/AosOnePool/5000/-68829033",2726,256991,256989,ns,,,,,
"Fixture/AosOnePool/5000/-2143705103",2735,256287,256288,ns,,,,,
"Fixture/AosOnePool/5000/1198070900",2718,257948,257949,ns,,,,,
"Fixture/AosOnePool/5000/133843679",2389,257623,257620,ns,,,,,
"Fixture/AosOnePool/5000/-1930600131",2723,257243,257241,ns,,,,,
"Fixture/AosOnePool/5000/-1447402473",2720,257495,257494,ns,,,,,
"Fixture/AosOnePool/5000/-508184131",2716,258016,258017,ns,,,,,
"Fixture/AosOnePool/5000/-1582948205",2724,257545,257545,ns,,,,,
"Fixture/AosOnePool/5000/269889396",2727,259294,259295,ns,,,,,
"Fixture/AosOnePool/5000/-834618686",2731,258886,258885,ns,,,,,
"Fixture/AosOnePool/5000/248299186",2740,256102,256101,ns,,,,,
"Fixture/AosOnePool/5000/1339360726",2728,269032,269030,ns,,,,,
"Fixture/AosOnePool/5000/249141273",2707,258480,258478,ns,,,,,
"Fixture/AosOnePool/5000/-1344064526",2730,259976,259974,ns,,,,,
"Fixture/AosOnePool/5000/631558817",2672,257292,257293,ns,,,,,
"Fixture/AosOnePool/5000/586553624",2726,261280,261279,ns,,,,,
"Fixture/AosOnePool/5000/1038357948",2733,256932,256931,ns,,,,,
"Fixture/AosOnePool/5000/581601844",2710,258610,258608,ns,,,,,
"Fixture/AosOnePool/5000/-697344232",2734,258308,258309,ns,,,,,
"Fixture/AosOnePool/5000/113305305",2734,261151,261144,ns,,,,,
"Fixture/AosOnePool/5000/587079356",2641,265112,265111,ns,,,,,
"Fixture/AosOnePool/5000/1384146951",2702,260864,260864,ns,,,,,
"Fixture/AosOnePool/5000/825181502",2711,258286,258287,ns,,,,,
"Fixture/AosOnePool/5000/-989240260",2543,257227,257225,ns,,,,,
"Fixture/AosOnePool/5000/1464624657",2714,258165,258166,ns,,,,,
"Fixture/AosOnePool/5000/921861173",2730,256610,256610,ns,,,,,
"Fixture/AosOnePool/5000/-396673413",2724,262403,262404,ns,,,,,
"Fixture/AosOnePool/5000/-1189848748",2729,256907,256907,ns,,,,,
"Fixture/AosOnePool/5000/744623799",2727,257182,257084,ns,,,,,
"Fixture/AosOnePool/5000/1979989439",2731,256408,256409,ns,,,,,
"Fixture/AosOnePool/5000/1885752724",2719,259453,259449,ns,,,,,
"Fixture/AosOnePool/5000/322344789",2724,257847,257848,ns,,,,,
"Fixture/AosOnePool/5000/-288739680",2733,256601,256602,ns,,,,,
"Fixture/AosOnePool/5000/1243738770",2726,256780,256781,ns,,,,,
"Fixture/AosOnePool/5000/111599134",2726,256471,256471,ns,,,,,
"Fixture/AosOnePool/5000/12204902",2728,256998,256999,ns,,,,,
"Fixture/AosOnePool/5000/2100257441",2729,256292,256293,ns,,,,,
"Fixture/AosOnePool/5000/1907021798",2722,256669,256670,ns,,,,,
"Fixture/AosOnePool/5000/1799402981",2702,258361,258362,ns,,,,,
"Fixture/AosOnePool/5000/539217176",2711,257342,257343,ns,,,,,
"Fixture/AosOnePool/5000/-1363199773",2720,257672,257673,ns,,,,,
"Fixture/AosOnePool/5000/-122452746",2636,256763,256761,ns,,,,,
"Fixture/AosOnePool/5000/-920529460",2692,257432,257431,ns,,,,,
"Fixture/AosOnePool/5000/5681271",2718,256850,256850,ns,,,,,
"Fixture/AosOnePool/5000/231388786",2723,256846,256847,ns,,,,,
"Fixture/AosOnePool/5000/-804163250",2719,256747,256747,ns,,,,,
"Fixture/AosOnePool/5000/-1012038501",2729,256295,256296,ns,,,,,
"Fixture/AosOnePool/5000/-1226216720",2703,256790,256791,ns,,,,,
"Fixture/AosOnePool/5000/1468440901",2713,258879,258879,ns,,,,,
"Fixture/AosOnePool/5000/-2045432995",2710,258021,258022,ns,,,,,
"Fixture/AosOnePool/5000/359991241",2722,256672,256672,ns,,,,,
"Fixture/AosOnePool/5000/1050792279",2646,256536,256537,ns,,,,,
"Fixture/AosOnePool/5000/-1697345357",2697,256242,256241,ns,,,,,
"Fixture/AosOnePool/5000/-92971685",2713,256526,256527,ns,,,,,
"Fixture/AosOnePool/5000/2129021960",2720,260460,260460,ns,,,,,
"Fixture/AosOnePool/5000/50409589",2677,258374,258375,ns,,,,,
"Fixture/AosOnePool/5000/1686395681",2725,257192,257192,ns,,,,,
"Fixture/AosOnePool/5000/476342664",2727,257815,257815,ns,,,,,
"Fixture/AosOnePool/5000/892104817",2723,260062,260063,ns,,,,,
"Fixture/AosOnePool/5000/705032541",2738,256041,256041,ns,,,,,
"Fixture/AosOnePool/5000/-1316917345",2724,257189,257188,ns,,,,,
"Fixture/AosOnePool/5000/597317328",2726,259659,259660,ns,,,,,
"Fixture/AosOnePool/5000/1609631859",2669,259049,259050,ns,,,,,
"Fixture/AosOnePool/5000/729492159",2733,261059,261060,ns,,,,,
"Fixture/AosOnePool/5000/-825884270",2717,257266,257265,ns,,,,,
"Fixture/AosOnePool/5000/-42736471",2726,256894,256895,ns,,,,,
"Fixture/AosOnePool/5000/-950282261",2699,257879,257880,ns,,,,,
"Fixture/AosOnePool/5000/-1675655415",2728,257942,257943,ns,,,,,
