2019-09-04 15:49:13
Running ./bench
Run on (4 X 3200 MHz CPU s)
CPU Caches:
  L1 Data 32K (x2)
  L1 Instruction 32K (x2)
  L2 Unified 256K (x2)
  L3 Unified 3072K (x1)
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"Fixture/AosOnePool/5000/14159",2469,284455,284428,ns,,,,,
"Fixture/AosOnePool/5000/26535",2472,286760,286714,ns,,,,,
"Fixture/AosOnePool/5000/89793",2461,285154,285128,ns,,,,,
"Fixture/AosOnePool/5000/23846",2458,286100,286059,ns,,,,,
"Fixture/AosOnePool/5000/26433",2411,287330,287294,ns,,,,,
"Fixture/AosOnePool/5000/83279",2457,285600,285548,ns,,,,,
"Fixture/AosOnePool/5000/50288",2472,287793,287748,ns,,,,,
"Fixture/AosOnePool/5000/41971",2407,285613,285581,ns,,,,,
"Fixture/AosOnePool/5000/69399",2443,284784,284746,ns,,,,,
"Fixture/AosOnePool/5000/37510",2464,286142,286090,ns,,,,,
"Fixture/AosOnePool/5000/58209",2462,285217,285176,ns,,,,,
"Fixture/AosOnePool/5000/74944",2479,283954,283900,ns,,,,,
"Fixture/AosOnePool/5000/59230",2462,285172,285136,ns,,,,,
"Fixture/AosOnePool/5000/78164",2478,284054,284006,ns,,,,,
"Fixture/AosOnePool/5000/6286",2484,284968,284928,ns,,,,,
"Fixture/AosOnePool/5000/20899",2450,285932,285899,ns,,,,,
"Fixture/AosOnePool/5000/86280",2461,283700,283653,ns,,,,,
"Fixture/AosOnePool/5000/34825",2462,284137,284112,ns,,,,,
"Fixture/AosOnePool/5000/34211",2465,286513,286470,ns,,,,,
"Fixture/AosOnePool/5000/70679",2464,284317,284285,ns,,,,,
"Fixture/AosOnePool/5000/82148",2476,281749,281714,ns,,,,,
"Fixture/AosOnePool/5000/8651",2457,284714,284679,ns,,,,,
"Fixture/AosOnePool/5000/32823",2491,282422,282363,ns,,,,,
"Fixture/AosOnePool/5000/6647",2456,283457,283424,ns,,,,,
"Fixture/AosOnePool/5000/9384",2467,286611,286569,ns,,,,,
"Fixture/AosOnePool/5000/46095",2429,285143,285118,ns,,,,,
"Fixture/AosOnePool/5000/50582",2439,284819,284773,ns,,,,,
"Fixture/AosOnePool/5000/23172",2462,284460,284397,ns,,,,,
"Fixture/AosOnePool/5000/53594",2463,287079,287021,ns,,,,,
"Fixture/AosOnePool/5000/8128",2455,283659,283613,ns,,,,,
"Fixture/AosOnePool/5000/48111",2448,285860,285821,ns,,,,,
"Fixture/AosOnePool/5000/74502",2468,283965,283929,ns,,,,,
"Fixture/AosOnePool/5000/84102",2452,283854,283815,ns,,,,,
"Fixture/AosOnePool/5000/70193",2453,286074,286056,ns,,,,,
"Fixture/AosOnePool/5000/85211",2425,284568,284558,ns,,,,,
"Fixture/AosOnePool/5000/5559",2460,285130,285106,ns,,,,,
"Fixture/AosOnePool/5000/64462",2458,283496,283469,ns,,,,,
"Fixture/AosOnePool/5000/29489",2467,282009,282000,ns,,,,,
"Fixture/AosOnePool/5000/54930",2443,284261,284221,ns,,,,,
"Fixture/AosOnePool/5000/38196",2458,282544,282534,ns,,,,,
"Fixture/AosOnePool/5000/44288",2442,283130,283111,ns,,,,,
"Fixture/AosOnePool/5000/10975",2296,285218,285208,ns,,,,,
"Fixture/AosOnePool/5000/66593",2476,281887,281860,ns,,,,,
"Fixture/AosOnePool/5000/34461",2452,283652,283642,ns,,,,,
"Fixture/AosOnePool/5000/28475",2443,284480,284460,ns,,,,,
"Fixture/AosOnePool/5000/64823",2444,283754,283742,ns,,,,,
"Fixture/AosOnePool/5000/37867",2450,283525,283501,ns,,,,,
"Fixture/AosOnePool/5000/83165",2455,284640,284628,ns,,,,,
"Fixture/AosOnePool/5000/27120",2446,285455,285434,ns,,,,,
"Fixture/AosOnePool/5000/19091",2468,283403,283374,ns,,,,,
"Fixture/AosOnePool/5000/45648",2456,284883,284876,ns,,,,,
"Fixture/AosOnePool/5000/56692",2455,284359,284332,ns,,,,,
"Fixture/AosOnePool/5000/34603",2412,283491,283481,ns,,,,,
"Fixture/AosOnePool/5000/48610",2470,284856,284823,ns,,,,,
"Fixture/AosOnePool/5000/45432",2436,283151,283114,ns,,,,,
"Fixture/AosOnePool/5000/66482",2418,284507,284462,ns,,,,,
"Fixture/AosOnePool/5000/13393",2424,284892,284870,ns,,,,,
"Fixture/AosOnePool/5000/60726",2461,287215,287156,ns,,,,,
"Fixture/AosOnePool/5000/2491",2478,283672,283635,ns,,,,,
"Fixture/AosOnePool/5000/41273",2459,287186,287146,ns,,,,,
"Fixture/AosOnePool/5000/72458",2471,284382,284325,ns,,,,,
"Fixture/AosOnePool/5000/70066",2464,284712,284674,ns,,,,,
"Fixture/AosOnePool/5000/6315",2470,284132,284097,ns,,,,,
"Fixture/AosOnePool/5000/58817",2466,283235,283196,ns,,,,,
"Fixture/AosOnePool/5000/48815",2434,285042,284989,ns,,,,,
"Fixture/AosOnePool/5000/20920",2463,285965,285931,ns,,,,,
"Fixture/AosOnePool/5000/96282",2471,284031,283993,ns,,,,,
"Fixture/AosOnePool/5000/92540",2471,283376,283345,ns,,,,,
"Fixture/AosOnePool/5000/91715",2466,284995,284914,ns,,,,,
"Fixture/AosOnePool/5000/36436",2470,282590,282555,ns,,,,,
"Fixture/AosOnePool/5000/78925",2462,283840,283793,ns,,,,,
"Fixture/AosOnePool/5000/90360",2481,282348,282292,ns,,,,,
"Fixture/AosOnePool/5000/1133",2446,285816,285776,ns,,,,,
"Fixture/AosOnePool/5000/5305",2456,284007,283970,ns,,,,,
"Fixture/AosOnePool/5000/48820",2462,284583,284534,ns,,,,,
"Fixture/AosOnePool/5000/46652",2459,287902,287859,ns,,,,,
"Fixture/AosOnePool/5000/13841",2457,285149,285094,ns,,,,,
"Fixture/AosOnePool/5000/46951",2463,283940,283908,ns,,,,,
"Fixture/AosOnePool/5000/94151",2468,284173,284127,ns,,,,,
"Fixture/AosOnePool/5000/16094",2481,283484,283454,ns,,,,,
"Fixture/AosOnePool/5000/33057",2483,282843,282803,ns,,,,,
"Fixture/AosOnePool/5000/27036",2478,283008,282971,ns,,,,,
"Fixture/AosOnePool/5000/57595",2487,283843,283782,ns,,,,,
"Fixture/AosOnePool/5000/91953",2482,282708,282672,ns,,,,,
"Fixture/AosOnePool/5000/9218",2458,286065,286014,ns,,,,,
"Fixture/AosOnePool/5000/61173",2457,285222,285192,ns,,,,,
"Fixture/AosOnePool/5000/81932",2460,285839,285794,ns,,,,,
"Fixture/AosOnePool/5000/61179",2466,285094,285060,ns,,,,,
"Fixture/AosOnePool/5000/31051",2447,285830,285805,ns,,,,,
"Fixture/AosOnePool/5000/18548",2461,282610,282591,ns,,,,,
"Fixture/AosOnePool/5000/7446",2466,284456,284433,ns,,,,,
"Fixture/AosOnePool/5000/23799",2470,283078,283052,ns,,,,,
"Fixture/AosOnePool/5000/62749",2441,284881,284849,ns,,,,,
"Fixture/AosOnePool/5000/56735",2252,287484,287474,ns,,,,,
"Fixture/AosOnePool/5000/18857",2450,286126,286115,ns,,,,,
"Fixture/AosOnePool/5000/52724",2447,282332,282313,ns,,,,,
"Fixture/AosOnePool/5000/89122",2461,282918,282909,ns,,,,,
"Fixture/AosOnePool/5000/79381",2462,282287,282267,ns,,,,,
"Fixture/AosOnePool/5000/83011",2402,283494,283475,ns,,,,,
"Fixture/AosOnePool/5000/94912",2444,284905,284894,ns,,,,,
"Fixture_BigO",,56.9073,56.9005,N,,,,,
"Fixture_RMS",,0.00485495,0.00484476,,,,,,
"Fixture/MixedManyPools/5000/14159",6710,103259,103248,ns,,,,,
"Fixture/MixedManyPools/5000/26535",6726,103575,103560,ns,,,,,
"Fixture/MixedManyPools/5000/89793",6666,105221,105205,ns,,,,,
"Fixture/MixedManyPools/5000/23846",6659,104295,104274,ns,,,,,
"Fixture/MixedManyPools/5000/26433",6729,103047,103041,ns,,,,,
"Fixture/MixedManyPools/5000/83279",6631,104894,104882,ns,,,,,
"Fixture/MixedManyPools/5000/50288",6664,103910,103897,ns,,,,,
"Fixture/MixedManyPools/5000/41971",6699,104335,104313,ns,,,,,
"Fixture/MixedManyPools/5000/69399",6696,104320,104301,ns,,,,,
"Fixture/MixedManyPools/5000/37510",6672,104428,104413,ns,,,,,
"Fixture/MixedManyPools/5000/58209",6677,104185,104177,ns,,,,,
"Fixture/MixedManyPools/5000/74944",6724,102236,102226,ns,,,,,
"Fixture/MixedManyPools/5000/59230",6786,102565,102544,ns,,,,,
"Fixture/MixedManyPools/5000/78164",6789,102527,102514,ns,,,,,
"Fixture/MixedManyPools/5000/6286",6759,103217,103195,ns,,,,,
"Fixture/MixedManyPools/5000/20899",6634,104415,104401,ns,,,,,
"Fixture/MixedManyPools/5000/86280",6668,104976,104970,ns,,,,,
"Fixture/MixedManyPools/5000/34825",6641,103471,103458,ns,,,,,
"Fixture/MixedManyPools/5000/34211",6648,104874,104855,ns,,,,,
"Fixture/MixedManyPools/5000/70679",6659,104477,104463,ns,,,,,
"Fixture/MixedManyPools/5000/82148",6630,104769,104746,ns,,,,,
"Fixture/MixedManyPools/5000/8651",6632,105414,105408,ns,,,,,
"Fixture/MixedManyPools/5000/32823",6752,103058,103047,ns,,,,,
"Fixture/MixedManyPools/5000/6647",6730,104282,104260,ns,,,,,
"Fixture/MixedManyPools/5000/9384",6701,103737,103714,ns,,,,,
"Fixture/MixedManyPools/5000/46095",6656,104007,103990,ns,,,,,
"Fixture/MixedManyPools/5000/50582",6633,103551,103528,ns,,,,,
"Fixture/MixedManyPools/5000/23172",6683,104434,104421,ns,,,,,
"Fixture/MixedManyPools/5000/53594",6700,102540,102531,ns,,,,,
"Fixture/MixedManyPools/5000/8128",6708,104444,104430,ns,,,,,
"Fixture/MixedManyPools/5000/48111",6643,103848,103827,ns,,,,,
"Fixture/MixedManyPools/5000/74502",6668,103587,103566,ns,,,,,
"Fixture/MixedManyPools/5000/84102",6724,103695,103684,ns,,,,,
"Fixture/MixedManyPools/5000/70193",6635,106182,106176,ns,,,,,
"Fixture/MixedManyPools/5000/85211",6540,105246,105242,ns,,,,,
"Fixture/MixedManyPools/5000/5559",6747,105022,105006,ns,,,,,
"Fixture/MixedManyPools/5000/64462",6746,103762,103747,ns,,,,,
"Fixture/MixedManyPools/5000/29489",6752,103306,103279,ns,,,,,
"Fixture/MixedManyPools/5000/54930",6668,104793,104782,ns,,,,,
"Fixture/MixedManyPools/5000/38196",6712,102894,102892,ns,,,,,
"Fixture/MixedManyPools/5000/44288",6563,105357,105346,ns,,,,,
"Fixture/MixedManyPools/5000/10975",6673,105215,105204,ns,,,,,
"Fixture/MixedManyPools/5000/66593",6710,104615,104591,ns,,,,,
"Fixture/MixedManyPools/5000/34461",6648,104662,104645,ns,,,,,
"Fixture/MixedManyPools/5000/28475",6615,104593,104565,ns,,,,,
"Fixture/MixedManyPools/5000/64823",6665,103184,103168,ns,,,,,
