2019-06-24 11:36:02
Running ./bench
Run on (8 X 4500 MHz CPU s)
CPU Caches:
  L1 Data 32K (x4)
  L1 Instruction 32K (x4)
  L2 Unified 256K (x4)
  L3 Unified 8192K (x1)
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"Fixture/AosOnePool/5000/1415926535",4169,165751,165752,ns,,,,,
"Fixture/AosOnePool/5000/389389254",4147,166869,166870,ns,,,,,
"Fixture/AosOnePool/5000/-1651584017",4186,164875,164877,ns,,,,,
"Fixture/AosOnePool/5000/733874675",4243,166764,166765,ns,,,,,
"Fixture/AosOnePool/5000/-1649997082",4205,164011,164012,ns,,,,,
"Fixture/AosOnePool/5000/1526007648",4353,163132,163133,ns,,,,,
"Fixture/AosOnePool/5000/1628110868",4202,164742,164743,ns,,,,,
"Fixture/AosOnePool/5000/628620899",4252,162987,162989,ns,,,,,
"Fixture/AosOnePool/5000/38100233",4325,162016,162017,ns,,,,,
"Fixture/AosOnePool/5000/-873796617",4332,162220,162221,ns,,,,,
"Fixture/AosOnePool/5000/-375125941",4225,166030,166031,ns,,,,,
"Fixture/AosOnePool/5000/-1012660649",4212,165724,165725,ns,,,,,
"Fixture/AosOnePool/5000/938446095",4214,165733,165734,ns,,,,,
"Fixture/AosOnePool/5000/763255876",4217,163092,163093,ns,,,,,
"Fixture/AosOnePool/5000/1064440832",4278,165585,165587,ns,,,,,
"Fixture/AosOnePool/5000/516207206",4226,165644,165644,ns,,,,,
"Fixture/AosOnePool/5000/-179664399",4303,161623,161624,ns,,,,,
"Fixture/AosOnePool/5000/-68829033",4199,166513,166515,ns,,,,,
"Fixture/AosOnePool/5000/-2143705103",4225,165369,165370,ns,,,,,
"Fixture/AosOnePool/5000/1198070900",4238,164171,164172,ns,,,,,
"Fixture/AosOnePool/5000/133843679",4263,165213,165214,ns,,,,,
"Fixture/AosOnePool/5000/-1930600131",4262,166934,166935,ns,,,,,
"Fixture/AosOnePool/5000/-1447402473",4203,166495,166496,ns,,,,,
"Fixture/AosOnePool/5000/-508184131",4184,166652,166653,ns,,,,,
"Fixture/AosOnePool/5000/-1582948205",4218,164271,164272,ns,,,,,
"Fixture/AosOnePool/5000/269889396",4328,164818,164819,ns,,,,,
"Fixture/AosOnePool/5000/-834618686",4214,166464,166465,ns,,,,,
"Fixture/AosOnePool/5000/248299186",4184,164294,164295,ns,,,,,
"Fixture/AosOnePool/5000/1339360726",4233,165828,165829,ns,,,,,
"Fixture/AosOnePool/5000/249141273",4234,178106,178107,ns,,,,,
"Fixture/AosOnePool/5000/-1344064526",4222,163874,163875,ns,,,,,
"Fixture/AosOnePool/5000/631558817",4313,166002,166003,ns,,,,,
"Fixture/AosOnePool/5000/586553624",4299,165729,165730,ns,,,,,
"Fixture/AosOnePool/5000/1038357948",4234,165444,165444,ns,,,,,
"Fixture/AosOnePool/5000/581601844",4174,166515,166517,ns,,,,,
"Fixture/AosOnePool/5000/-697344232",4216,166970,166970,ns,,,,,
"Fixture/AosOnePool/5000/113305305",4312,161806,161806,ns,,,,,
"Fixture/AosOnePool/5000/587079356",4164,168496,168497,ns,,,,,
"Fixture/AosOnePool/5000/1384146951",4194,167662,167663,ns,,,,,
"Fixture/AosOnePool/5000/825181502",4278,166962,166963,ns,,,,,
"Fixture/AosOnePool/5000/-989240260",4231,165527,165528,ns,,,,,
"Fixture/AosOnePool/5000/1464624657",4177,166990,166991,ns,,,,,
"Fixture/AosOnePool/5000/921861173",4338,163086,163087,ns,,,,,
"Fixture/AosOnePool/5000/-396673413",4232,163186,163187,ns,,,,,
"Fixture/AosOnePool/5000/-1189848748",4204,165614,165615,ns,,,,,
"Fixture/AosOnePool/5000/744623799",4230,165319,165320,ns,,,,,
"Fixture/AosOnePool/5000/1979989439",4215,166275,166276,ns,,,,,
"Fixture/AosOnePool/5000/1885752724",4101,164893,164894,ns,,,,,
"Fixture/AosOnePool/5000/322344789",4269,167489,167490,ns,,,,,
"Fixture/AosOnePool/5000/-288739680",4352,164002,164003,ns,,,,,
"Fixture/AosOnePool/5000/1243738770",3814,169583,169585,ns,,,,,
"Fixture/AosOnePool/5000/111599134",4345,161764,161765,ns,,,,,
"Fixture/AosOnePool/5000/12204902",4294,168893,168894,ns,,,,,
"Fixture/AosOnePool/5000/2100257441",4321,162000,162001,ns,,,,,
"Fixture/AosOnePool/5000/1907021798",4193,166900,166901,ns,,,,,
