2019-06-24 11:36:29
Running ./bench
Run on (8 X 4000 MHz CPU s)
CPU Caches:
  L1 Data 32K (x4)
  L1 Instruction 32K (x4)
  L2 Unified 256K (x4)
  L3 Unified 8192K (x1)
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"Fixture/AosOnePool/5000/1415926535",2934,241414,241414,ns,,,,,
"Fixture/AosOnePool/5000/389389254",2919,239774,239773,ns,,,,,
"Fixture/AosOnePool/5000/-1651584017",2960,237003,237004,ns,,,,,
"Fixture/AosOnePool/5000/733874675",2939,238960,238956,ns,,,,,
"Fixture/AosOnePool/5000/-1649997082",2964,237704,237704,ns,,,,,
"Fixture/AosOnePool/5000/1526007648",2955,238232,238232,ns,,,,,
"Fixture/AosOnePool/5000/1628110868",2944,239765,239763,ns,,,,,
"Fixture/AosOnePool/5000/628620899",2976,235898,235898,ns,,,,,
"Fixture/AosOnePool/5000/38100233",2940,238333,238334,ns,,,,,
"Fixture/AosOnePool/5000/-873796617",2944,236307,236307,ns,,,,,
"Fixture/AosOnePool/5000/-375125941",2943,239026,239026,ns,,,,,
"Fixture/AosOnePool/5000/-1012660649",2863,235961,235959,ns,,,,,
"Fixture/AosOnePool/5000/938446095",2335,372810,372811,ns,,,,,
"Fixture/AosOnePool/5000/763255876",1870,374604,374605,ns,,,,,
"Fixture/AosOnePool/5000/1064440832",1874,373980,373983,ns,,,,,
"Fixture/AosOnePool/5000/516207206",2337,237123,237118,ns,,,,,
"Fixture/AosOnePool/5000/-179664399",2954,236850,236850,ns,,,,,
"Fixture/AosOnePool/5000/-68829033",2965,240331,240331,ns,,,,,
"Fixture/AosOnePool/5000/-2143705103",2979,235332,235332,ns,,,,,
"Fixture/AosOnePool/5000/1198070900",2954,245682,245682,ns,,,,,
"Fixture/AosOnePool/5000/133843679",1880,272505,272505,ns,,,,,
"Fixture/AosOnePool/5000/-1930600131",2840,239275,239273,ns,,,,,
"Fixture/AosOnePool/5000/-1447402473",2965,236349,236350,ns,,,,,
"Fixture/AosOnePool/5000/-508184131",2966,238903,238903,ns,,,,,
"Fixture/AosOnePool/5000/-1582948205",2943,238415,238415,ns,,,,,
"Fixture/AosOnePool/5000/269889396",2967,236399,236400,ns,,,,,
"Fixture/AosOnePool/5000/-834618686",2936,238564,238562,ns,,,,,
"Fixture/AosOnePool/5000/248299186",2943,237462,237461,ns,,,,,
