Desktop-One,Desktop-Many,Laptop-One,Laptop-Many,Graphic-One,Graphic-Many,Ray-One,Ray-Many,Voxel-One,Voxel-Many
216296,96203.8,270016,102479,262560,81316.4,164113,70863.3,244304,77237.9
219067,97822.6,273674,104602,258103,83465.5,167523,72439.1,244901,79006.3
217340,97035,311580,103261,258483,82137.1,166246,71412.7,247414,78008.8
217606,96861.2,272079,103091,256789,82420.5,166576,71660.9,243763,78169.8
216318,95360,270040,102334,255926,80320.6,165307,70052.5,252723,76370.1
211986,95876.6,272321,101963,255946,81148.6,163630,70534.3,251011,76879.3
217243,97031.5,276278,103268,261169,82423.1,165417,71233.5,252024,77823.9
215496,96562.4,275094,103679,256426,81788.8,163808,71030.6,251268,79112.4
214853,96476.3,273435,102623,257337,81568.6,164156,70928.1,251949,77478.1
215310,96508.5,273288,102591,257520,81697.7,163575,70903.4,252073,79655
215981,96200.2,273318,102313,256865,81131.9,165010,70811.9,252142,82793.4
215327,96163,273153,104086,257505,81377.3,165368,70775.6,266024,77253
215987,96601.6,272810,102984,256828,81910.5,179393,71129.4,261635,81776.2
213743,96259.3,272777,102560,264190,81523.5,164865,70755.9,243659,77381
215232,96303.9,276164,102321,256599,81546.7,165723,71174,243240,77463.5
213585,96426.6,271262,104502,256821,81908.7,165353,71088.7,245345,77971.6
212572,96379.8,266613,102449,259506,81592,164620,70988.2,246342,77467.5
217087,95985.1,270392,102078,256989,81209.2,166325,70621.1,244246,77094.4
214361,95752.5,268752,101701,256288,80969.7,164329,70300.6,243302,76767.8
216897,95781.5,270011,102760,257949,81040,165755,70522.6,296045,76976.6
217057,96323.4,270391,102513,257620,81450.3,166183,70740.2,250299,77337.2
217162,96098.7,270152,102131,257241,81392.1,166977,70867.1,244160,77299.8
216986,96902,271912,103091,257494,82129.4,166435,71146.8,244067,78857.3
216504,97189.2,269757,103584,258017,82536.5,167473,71556.4,244241,78417.9
215767,96391.5,271493,102736,257545,82476.6,164414,71055.7,243585,77670.9
215978,97242.9,268975,103483,259295,82389.7,164577,71427.3,243897,78174.5
215874,96726.8,270085,103539,258885,81947.8,165045,71315.6,243782,77841.7
216450,96405.3,269579,102503,256101,81678,166024,71306.2,242957,77616.9
215936,96470.6,270144,102696,269030,82388.9,164782,71042.8,243890,77864.7
214015,95681.7,268289,102032,258478,81056.8,164078,70529.6,243522,76895.5
214517,95953.9,267812,102102,259974,81685.6,164140,70719.6,245075,77186.3
215074,96450.2,267680,102554,257293,81557.1,165060,70963,244385,77335
215512,97055.3,268894,103322,261279,82545.9,165686,71679.5,244031,78300.3
216429,95909.4,269693,102252,256931,81260.9,165652,70598.5,243439,77084.5
