desktop-orig,desktop-aos,desktop-mixed,desktop-soa,laptop-orig,laptop-aos,laptop-mixed,laptop-soa,graphic-orig,graphic-aos,graphic-mixed,graphic-soa,ray-orig,ray-aos,ray-mixed,ray-soa,voxel-orig,voxel-aos,voxel-mixed,voxel-soa
165.50799500000002,282.12001352,171.79719565,326.98038661,299.430144,526.06925980,338.53485312,542.85638213,208.392466,258.53279892,188.18415214,399.36623892,143.410327,255.17112048,152.65396274,267.70840734,196.321716,329.39421034,200.63763737,341.40047151
164.047719,282.14642283,171.78274387,324.73807833,302.569921,528.36579860,338.65708632,532.06300784,191.93402,259.95307730,188.56215992,406.31943201,143.411113,257.41381382,152.58509648,266.57739943,201.051075,327.60680881,201.18201914,344.79120369
164.852529,282.12151118,171.76777242,330.84038629,318.140786,522.87815707,338.53167123,535.90724752,189.320197,257.14356824,201.12843022,398.28302050,146.45590399999998,255.08410831,152.64986660,261.62914405,194.993489,327.20926381,199.78342380,338.14435511
165.53318099999998,282.18196877,171.83398500,330.62620398,336.356894,525.02197963,338.53901464,541.63210871,186.49487399999998,254.32619695,201.50395000,401.19960676,146.230653,255.29062666,152.87075391,264.93734728,200.61143199999998,335.29402944,201.93965681,341.42527330
164.945376,282.15460012,172.19146338,327.16197814,336.108236,523.61643366,338.58749801,530.97330694,189.815172,261.47587374,199.17642291,397.57189771,171.1851,255.40608243,152.59661051,261.08298558,201.51209,327.26885834,202.80512535,343.34574620
165.039054,282.17135415,171.78787623,330.88259058,338.452691,525.39165041,337.99709454,538.91192426,183.448924,266.78025676,200.45629164,403.12254680,143.652257,255.26315678,152.51746128,265.22974489,200.876733,326.98709824,201.38380174,344.97150161
165.28949599999999,282.14584311,171.75713025,329.57095917,337.98611700000004,523.72164111,338.93574265,535.96469540,181.368832,261.89120439,209.98312416,396.20044650,143.81323899999998,255.09567112,152.68196369,263.10227690,201.989172,328.47108024,200.72456452,343.10201369
165.26738,282.21253939,171.64213721,325.34654551,338.02169699999996,526.83498563,338.84547190,536.56044577,186.75308600000002,267.80693796,210.01434350,404.30094172,143.800555,255.16778888,152.59492057,265.74011260,211.862775,326.48340905,203.03929471,351.56695040
165.442197,282.13308062,172.10596679,331.69912595,338.163132,525.20989314,338.66708560,536.08755640,193.295662,258.37414936,197.13108059,407.99891183,143.935512,256.86498447,155.00550817,266.11542302,199.738597,330.19669367,204.85241711,361.22662573
166.27795600000002,282.15453411,172.02834344,326.24263477,336.51363699999996,525.24137682,338.57475567,536.02298990,190.21660699999998,266.99571489,194.32521746,395.16923640,144.01412100000002,255.08624687,152.59766485,265.37841104,197.812944,326.72154756,201.71000633,344.70585160
166.324209,282.14687439,171.96002645,330.58579188,337.804772,523.54561980,339.36014349,536.00049592,190.877519,255.29892329,196.74995556,402.86439360,146.661518,255.15534174,152.64929842,267.50684236,199.787444,326.62839593,203.92265797,346.31640223
165.951526,282.10144018,171.76034591,328.42967066,336.473515,523.96516797,338.54677099,534.53875858,193.965511,263.22357719,201.46905211,404.39865018,143.97994,270.87871347,152.63591581,266.77672037,198.97672,326.53021434,204.42431107,345.19869735
165.582247,282.21142314,171.79012711,326.00632961,336.41000499999996,525.59477902,338.38188438,530.75438352,203.434454,260.86380477,199.48051496,400.50726841,146.15071,255.24718577,152.66407777,267.01208944,201.837123,326.31580488,216.59312831,347.07459663
166.796563,282.38340041,172.14586300,330.78059701,330.321146,523.66324056,338.25643901,531.37753295,197.26020400000002,260.16113384,194.61739309,399.00919353,146.294937,255.25881033,152.67816262,282.78319679,198.557784,327.08752282,205.56188644,349.99182158
167.033777,282.20052085,171.84634094,326.35809747,327.76923899999997,524.86829136,338.09094900,534.66026304,194.11685899999998,266.01657227,204.63445722,395.08817424,146.133512,256.24629420,176.22096838,266.32012233,200.59464,328.66870348,205.46143747,344.21394043
166.495204,282.10484635,171.68009329,326.89445440,325.219334,523.04477884,338.41210127,530.91594077,193.749171,266.51394007,210.73818310,407.05905705,146.13417900000002,256.77145169,152.61368612,263.13438146,203.08456600000002,327.95475336,206.07262733,350.52423272
166.08514,282.23397067,171.79556561,324.53765879,317.567995,523.03999701,338.50551032,534.73821010,200.127646,255.39308337,193.75206132,400.18327915,149.018064,255.23477602,152.56500816,270.27965757,203.884843,327.41072757,204.18931368,344.82039507
167.99661300000002,282.38553305,171.77338517,329.63093337,315.31328,524.03175150,338.33881019,534.63128722,218.972507,254.00635937,195.05492706,398.52989221,144.553964,255.20467438,152.58774887,267.52654084,198.139116,335.24458436,204.89793434,344.40062736
166.727767,282.23436411,171.78194319,330.17473403,315.51457,524.61655159,338.31376027,534.68628631,214.82743200000002,249.86697577,192.39225843,394.00356304,144.800937,256.99973275,152.50789876,262.09315556,200.991196,327.16524368,204.62239754,361.62722674
166.64557599999998,282.22224663,171.77106411,326.56416180,315.059726,521.58111547,338.70855815,535.73161270,202.18989100000002,250.44825341,199.37050077,411.07498602,144.63527200000001,255.21671953,152.66002626,261.72808778,202.421467,328.66776981,205.12361106,349.92719813
