2018-09-15 14:33:11
Running ./bench
Run on (8 X 4000 MHz CPU s)
CPU Caches:
  L1 Data 32K (x4)
  L1 Instruction 32K (x4)
  L2 Unified 256K (x4)
  L3 Unified 8192K (x1)
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_Template<ScatteredOwningAos>/Replication:32/Dataset:0",2949,237510,237490,ns,5.18382e+09,4.31985e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:32/Dataset:0",2949,237654,237632,ns,5.18072e+09,4.31727e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:32/Dataset:0",2949,238014,237992,ns,5.17288e+09,4.31073e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:32/Dataset:0",2949,237626,237608,ns,5.18123e+09,4.31769e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:32/Dataset:0",2949,237319,237306,ns,5.18782e+09,4.32319e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:32/Dataset:0",2949,237313,237298,ns,5.18801e+09,4.32334e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:32/Dataset:0",2949,237673,237655,ns,5.18021e+09,4.31684e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:32/Dataset:0",2949,237721,237708,ns,5.17905e+09,4.31588e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:32/Dataset:0",2949,237112,237082,ns,5.19273e+09,4.32727e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:32/Dataset:0",2949,237994,237973,ns,5.1733e+09,4.31108e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:32/Dataset:0",2949,237285,237264,ns,5.18875e+09,4.32396e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:32/Dataset:0",2949,237545,237523,ns,5.1831e+09,4.31925e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:32/Dataset:0",2949,237206,237193,ns,5.19031e+09,4.32525e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:32/Dataset:0",2949,237036,237007,ns,5.19438e+09,4.32865e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:32/Dataset:0",2949,237889,237867,ns,5.1756e+09,4.313e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:32/Dataset:0_mean",2949,237526,237507,ns,5.18346e+09,4.31955e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:32/Dataset:0_median",2949,237545,237523,ns,5.1831e+09,4.31925e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:32/Dataset:0_stddev",2949,308.792,309.629,ns,6.75721e+06,563101,,,
"BM_Template<ScatteredOwningAos>/Replication:32/Dataset:0_min",2949,237036,237007,ns,5.17288e+09,4.31073e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:32/Dataset:0_max",2949,238014,237992,ns,5.19438e+09,4.32865e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:64/Dataset:0",1495,469324,469202,ns,5.24765e+09,4.37304e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:64/Dataset:0",1495,468495,468374,ns,5.25692e+09,4.38077e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:64/Dataset:0",1495,466934,466737,ns,5.27537e+09,4.39614e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:64/Dataset:0",1495,468976,468879,ns,5.25127e+09,4.37606e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:64/Dataset:0",1495,468245,467910,ns,5.26214e+09,4.38512e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:64/Dataset:0",1495,469813,469328,ns,5.24624e+09,4.37187e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:64/Dataset:0",1495,468817,468349,ns,5.25721e+09,4.38101e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:64/Dataset:0",1495,470327,469771,ns,5.24129e+09,4.36774e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:64/Dataset:0",1495,469346,468904,ns,5.25098e+09,4.37582e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:64/Dataset:0",1495,468186,467855,ns,5.26276e+09,4.38564e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:64/Dataset:0",1495,470708,470250,ns,5.23596e+09,4.3633e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:64/Dataset:0",1495,468973,468534,ns,5.25513e+09,4.37928e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:64/Dataset:0",1495,469232,468803,ns,5.25211e+09,4.37676e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:64/Dataset:0",1495,469757,469304,ns,5.24651e+09,4.37209e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:64/Dataset:0",1495,470983,470481,ns,5.23339e+09,4.36116e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:64/Dataset:0_mean",1495,469208,468845,ns,5.25166e+09,4.37639e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:64/Dataset:0_median",1495,469232,468879,ns,5.25127e+09,4.37606e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:64/Dataset:0_stddev",1495,1044.17,961.677,ns,1.07779e+07,898156,,,
"BM_Template<ScatteredOwningAos>/Replication:64/Dataset:0_min",1495,466934,466737,ns,5.23339e+09,4.36116e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:64/Dataset:0_max",1495,470983,470481,ns,5.27537e+09,4.39614e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:96/Dataset:0",990,704949,704083,ns,5.24557e+09,4.3713e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:96/Dataset:0",990,704620,703746,ns,5.24808e+09,4.3734e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:96/Dataset:0",990,703562,702892,ns,5.25445e+09,4.37871e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:96/Dataset:0",990,704107,703339,ns,5.25111e+09,4.37592e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:96/Dataset:0",990,704483,703816,ns,5.24755e+09,4.37296e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:96/Dataset:0",990,705261,704257,ns,5.24426e+09,4.37022e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:96/Dataset:0",990,704999,704284,ns,5.24406e+09,4.37005e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:96/Dataset:0",990,705244,704439,ns,5.24291e+09,4.36909e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:96/Dataset:0",990,703885,703021,ns,5.25348e+09,4.3779e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:96/Dataset:0",990,704585,703644,ns,5.24883e+09,4.37403e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:96/Dataset:0",990,703966,703062,ns,5.25318e+09,4.37765e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:96/Dataset:0",990,703909,703167,ns,5.2524e+09,4.377e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:96/Dataset:0",990,704279,703331,ns,5.25117e+09,4.37597e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:96/Dataset:0",990,705212,704404,ns,5.24317e+09,4.36931e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:96/Dataset:0",990,705807,705020,ns,5.2386e+09,4.3655e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:96/Dataset:0_mean",990,704591,703767,ns,5.24792e+09,4.37327e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:96/Dataset:0_median",990,704585,703746,ns,5.24808e+09,4.3734e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:96/Dataset:0_stddev",990,643.118,632.712,ns,4.71688e+06,393073,,,
"BM_Template<ScatteredOwningAos>/Replication:96/Dataset:0_min",990,703562,702892,ns,5.2386e+09,4.3655e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:96/Dataset:0_max",990,705807,705020,ns,5.25445e+09,4.37871e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:128/Dataset:0",735,950002,949019,ns,5.18895e+09,4.32413e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:128/Dataset:0",735,950674,949712,ns,5.18517e+09,4.32097e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:128/Dataset:0",735,949796,949009,ns,5.18901e+09,4.32418e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:128/Dataset:0",735,950610,949594,ns,5.18581e+09,4.32151e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:128/Dataset:0",735,950669,949724,ns,5.1851e+09,4.32092e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:128/Dataset:0",735,950436,949463,ns,5.18653e+09,4.32211e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:128/Dataset:0",735,949136,948075,ns,5.19412e+09,4.32844e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:128/Dataset:0",735,950034,949269,ns,5.18759e+09,4.32299e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:128/Dataset:0",735,950415,949324,ns,5.18728e+09,4.32274e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:128/Dataset:0",735,949827,948884,ns,5.18969e+09,4.32474e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:128/Dataset:0",735,948440,947515,ns,5.19719e+09,4.33099e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:128/Dataset:0",735,951121,950088,ns,5.18311e+09,4.31926e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:128/Dataset:0",735,949954,948963,ns,5.18926e+09,4.32438e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:128/Dataset:0",735,950522,949781,ns,5.18479e+09,4.32066e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:128/Dataset:0",735,950758,949674,ns,5.18538e+09,4.32115e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:128/Dataset:0_mean",735,950160,949206,ns,5.18793e+09,4.32328e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:128/Dataset:0_median",735,950415,949324,ns,5.18728e+09,4.32274e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:128/Dataset:0_stddev",735,687.444,679.486,ns,3.71681e+06,309734,,,
"BM_Template<ScatteredOwningAos>/Replication:128/Dataset:0_min",735,948440,947515,ns,5.18311e+09,4.31926e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:128/Dataset:0_max",735,951121,950088,ns,5.19719e+09,4.33099e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:160/Dataset:0",586,1.19374e+06,1.19234e+06,ns,5.16254e+09,4.30212e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:160/Dataset:0",586,1.19524e+06,1.19419e+06,ns,5.15458e+09,4.29548e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:160/Dataset:0",586,1.19564e+06,1.19424e+06,ns,5.15434e+09,4.29529e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:160/Dataset:0",586,1.19454e+06,1.19346e+06,ns,5.1577e+09,4.29808e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:160/Dataset:0",586,1.19301e+06,1.19175e+06,ns,5.16513e+09,4.30427e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:160/Dataset:0",586,1.19323e+06,1.19218e+06,ns,5.16324e+09,4.3027e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:160/Dataset:0",586,1.1958e+06,1.19449e+06,ns,5.15327e+09,4.2944e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:160/Dataset:0",586,1.19386e+06,1.19278e+06,ns,5.16065e+09,4.30054e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:160/Dataset:0",586,1.19492e+06,1.19357e+06,ns,5.15721e+09,4.29768e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:160/Dataset:0",586,1.19379e+06,1.19284e+06,ns,5.1604e+09,4.30034e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:160/Dataset:0",586,1.19322e+06,1.1922e+06,ns,5.16316e+09,4.30263e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:160/Dataset:0",586,1.19416e+06,1.19295e+06,ns,5.1599e+09,4.29992e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:160/Dataset:0",586,1.19386e+06,1.19251e+06,ns,5.16183e+09,4.30152e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:160/Dataset:0",586,1.19443e+06,1.19318e+06,ns,5.15892e+09,4.2991e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:160/Dataset:0",586,1.19592e+06,1.19449e+06,ns,5.15326e+09,4.29438e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:160/Dataset:0_mean",586,1.19436e+06,1.19314e+06,ns,5.15908e+09,4.29923e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:160/Dataset:0_median",586,1.19416e+06,1.19295e+06,ns,5.1599e+09,4.29992e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:160/Dataset:0_stddev",586,960.441,897.216,ns,3.8789e+06,323242,,,
"BM_Template<ScatteredOwningAos>/Replication:160/Dataset:0_min",586,1.19301e+06,1.19175e+06,ns,5.15326e+09,4.29438e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:160/Dataset:0_max",586,1.19592e+06,1.19449e+06,ns,5.16513e+09,4.30427e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:192/Dataset:0",487,1.43683e+06,1.43541e+06,ns,5.146e+09,4.28833e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:192/Dataset:0",487,1.4371e+06,1.4356e+06,ns,5.14532e+09,4.28776e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:192/Dataset:0",487,1.43695e+06,1.43593e+06,ns,5.14415e+09,4.28679e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:192/Dataset:0",487,1.43867e+06,1.43732e+06,ns,5.13915e+09,4.28263e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:192/Dataset:0",487,1.4376e+06,1.43649e+06,ns,5.14213e+09,4.2851e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:192/Dataset:0",487,1.43681e+06,1.4355e+06,ns,5.14569e+09,4.28808e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:192/Dataset:0",487,1.4386e+06,1.43687e+06,ns,5.14078e+09,4.28398e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:192/Dataset:0",487,1.43811e+06,1.43675e+06,ns,5.14121e+09,4.28434e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:192/Dataset:0",487,1.4386e+06,1.43707e+06,ns,5.14006e+09,4.28339e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:192/Dataset:0",487,1.43718e+06,1.43582e+06,ns,5.14454e+09,4.28712e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:192/Dataset:0",487,1.43794e+06,1.43647e+06,ns,5.14221e+09,4.28517e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:192/Dataset:0",487,1.43783e+06,1.43689e+06,ns,5.14072e+09,4.28393e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:192/Dataset:0",487,1.43734e+06,1.4358e+06,ns,5.14461e+09,4.28717e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:192/Dataset:0",487,1.43721e+06,1.43579e+06,ns,5.14464e+09,4.2872e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:192/Dataset:0",487,1.43985e+06,1.43867e+06,ns,5.13433e+09,4.27861e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:192/Dataset:0_mean",487,1.43777e+06,1.43643e+06,ns,5.14237e+09,4.28531e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:192/Dataset:0_median",487,1.4376e+06,1.43647e+06,ns,5.14221e+09,4.28517e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:192/Dataset:0_stddev",487,865.669,877.35,ns,3.139e+06,261583,,,
"BM_Template<ScatteredOwningAos>/Replication:192/Dataset:0_min",487,1.43681e+06,1.43541e+06,ns,5.13433e+09,4.27861e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:192/Dataset:0_max",487,1.43985e+06,1.43867e+06,ns,5.146e+09,4.28833e+08,,,
