2018-09-15 13:47:55
Running ./bench
Run on (4 X 3200 MHz CPU s)
CPU Caches:
  L1 Data 32K (x2)
  L1 Instruction 32K (x2)
  L2 Unified 256K (x2)
  L3 Unified 3072K (x1)
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_Template<ScatteredOwningAos>/Replication:32/Dataset:0",2199,317211,315731,ns,3.89922e+09,3.24935e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:32/Dataset:0",2199,320704,319066,ns,3.85847e+09,3.21539e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:32/Dataset:0",2199,319449,318248,ns,3.86838e+09,3.22365e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:32/Dataset:0",2199,322531,321107,ns,3.83393e+09,3.19494e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:32/Dataset:0",2199,319683,318193,ns,3.86905e+09,3.22421e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:32/Dataset:0",2199,320115,318214,ns,3.86879e+09,3.22399e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:32/Dataset:0",2199,320140,317965,ns,3.87182e+09,3.22652e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:32/Dataset:0",2199,319489,317521,ns,3.87724e+09,3.23103e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:32/Dataset:0",2199,321289,320350,ns,3.843e+09,3.2025e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:32/Dataset:0",2199,327254,325914,ns,3.77739e+09,3.14782e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:32/Dataset:0",2199,320469,318520,ns,3.86507e+09,3.22089e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:32/Dataset:0",2199,319579,317680,ns,3.8753e+09,3.22942e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:32/Dataset:0",2199,317182,315321,ns,3.90429e+09,3.25358e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:32/Dataset:0",2199,319654,318479,ns,3.86557e+09,3.22131e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:32/Dataset:0",2199,320264,318378,ns,3.8668e+09,3.22233e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:32/Dataset:0_mean",2199,320334,318712,ns,3.86295e+09,3.21913e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:32/Dataset:0_median",2199,320115,318248,ns,3.86838e+09,3.22365e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:32/Dataset:0_stddev",2199,2337.71,2460.81,ns,2.94807e+07,2.45672e+06,,,
"BM_Template<ScatteredOwningAos>/Replication:32/Dataset:0_min",2199,317182,315321,ns,3.77739e+09,3.14782e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:32/Dataset:0_max",2199,327254,325914,ns,3.90429e+09,3.25358e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:64/Dataset:0",1084,640777,639777,ns,3.84854e+09,3.20712e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:64/Dataset:0",1084,639030,638050,ns,3.85896e+09,3.2158e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:64/Dataset:0",1084,637951,636950,ns,3.86562e+09,3.22135e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:64/Dataset:0",1084,638608,637595,ns,3.86171e+09,3.21809e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:64/Dataset:0",1084,639479,638062,ns,3.85889e+09,3.21574e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:64/Dataset:0",1084,639161,638121,ns,3.85853e+09,3.21544e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:64/Dataset:0",1084,639673,638677,ns,3.85517e+09,3.21264e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:64/Dataset:0",1084,650718,648345,ns,3.79768e+09,3.16474e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:64/Dataset:0",1084,641019,639988,ns,3.84727e+09,3.20606e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:64/Dataset:0",1084,638586,637569,ns,3.86187e+09,3.21823e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:64/Dataset:0",1084,639019,638028,ns,3.85909e+09,3.21591e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:64/Dataset:0",1084,642480,641132,ns,3.84041e+09,3.20034e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:64/Dataset:0",1084,639123,638120,ns,3.85854e+09,3.21545e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:64/Dataset:0",1084,639246,637877,ns,3.86e+09,3.21667e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:64/Dataset:0",1084,638905,637929,ns,3.85969e+09,3.21641e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:64/Dataset:0_mean",1084,640252,639081,ns,3.8528e+09,3.21066e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:64/Dataset:0_median",1084,639161,638062,ns,3.85889e+09,3.21574e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:64/Dataset:0_stddev",1084,3109.78,2782.14,ns,1.65864e+07,1.3822e+06,,,
"BM_Template<ScatteredOwningAos>/Replication:64/Dataset:0_min",1084,637951,636950,ns,3.79768e+09,3.16474e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:64/Dataset:0_max",1084,650718,648345,ns,3.86562e+09,3.22135e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:96/Dataset:0",715,973902,973049,ns,3.79561e+09,3.16301e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:96/Dataset:0",715,978188,976600,ns,3.78181e+09,3.15151e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:96/Dataset:0",715,975440,974467,ns,3.79009e+09,3.1584e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:96/Dataset:0",715,977343,976459,ns,3.78235e+09,3.15196e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:96/Dataset:0",715,980938,979736,ns,3.7697e+09,3.14142e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:96/Dataset:0",715,978609,977556,ns,3.77811e+09,3.14842e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:96/Dataset:0",715,982033,981065,ns,3.76459e+09,3.13716e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:96/Dataset:0",715,980784,979085,ns,3.77221e+09,3.14351e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:96/Dataset:0",715,973195,972233,ns,3.79879e+09,3.16566e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:96/Dataset:0",715,975621,974786,ns,3.78884e+09,3.15737e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:96/Dataset:0",715,981880,980662,ns,3.76614e+09,3.13845e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:96/Dataset:0",715,972782,971784,ns,3.80055e+09,3.16712e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:96/Dataset:0",715,977474,976458,ns,3.78236e+09,3.15197e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:96/Dataset:0",715,982219,981030,ns,3.76473e+09,3.13727e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:96/Dataset:0",715,977451,975895,ns,3.78454e+09,3.15378e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:96/Dataset:0_mean",715,977857,976724,ns,3.78136e+09,3.15113e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:96/Dataset:0_median",715,977474,976459,ns,3.78235e+09,3.15196e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:96/Dataset:0_stddev",715,3228.62,3116.83,ns,1.20684e+07,1.0057e+06,,,
"BM_Template<ScatteredOwningAos>/Replication:96/Dataset:0_min",715,972782,971784,ns,3.76459e+09,3.13716e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:96/Dataset:0_max",715,982219,981065,ns,3.80055e+09,3.16712e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:128/Dataset:0",535,1.32471e+06,1.3233e+06,ns,3.72133e+09,3.10111e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:128/Dataset:0",535,1.31695e+06,1.31649e+06,ns,3.74056e+09,3.11713e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:128/Dataset:0",535,1.31093e+06,1.30936e+06,ns,3.76093e+09,3.13411e+08,,,
"BM_Template<ScatteredOwningAos>/Replication:128/Dataset:0",535,1.31848e+06,1.31714e+06,ns,3.73872e+09,3.1156e+08,,,
