Scattered-Aos-desktop,Pooled-Aos-desktop,Scattered-Mixed-desktop,Pooled-Mixed-desktop,Scattered-Soa-desktop,Pooled-Soa-desktop,Scattered-Aos-laptop,Pooled-Aos-laptop,Scattered-Mixed-laptop,Pooled-Mixed-laptop,Scattered-Soa-laptop,Pooled-Soa-laptop,Scattered-Aos-graphic,Pooled-Aos-graphic,Scattered-Mixed-graphic,Pooled-Mixed-graphic,Scattered-Soa-graphic,Pooled-Soa-graphic,Scattered-Aos-ray,Pooled-Aos-ray,Scattered-Mixed-ray,Pooled-Mixed-ray,Scattered-Soa-ray,Pooled-Soa-ray,Scattered-Aos-voxel,Pooled-Aos-voxel,Scattered-Mixed-voxel,Pooled-Mixed-voxel,Scattered-Soa-voxel,Pooled-Soa-voxel
1.48445e+08,1.41875e+08,1.1923e+08,1.07977e+08,1.57075e+08,1.43341e+08,1.73646e+08,1.66072e+08,1.39741e+08,1.31307e+08,1.69121e+08,1.62201e+08,1.66033e+08,1.63736e+08,1.28819e+08,1.27493e+08,1.55804e+08,1.6417e+08,1.23446e+08,1.21967e+08,9.49132e+07,9.33085e+07,1.13257e+08,1.13253e+08,1.51784e+08,1.49483e+08,1.1939e+08,1.17074e+08,1.47291e+08,1.48596e+08
1.46718e+08,1.42045e+08,1.13203e+08,1.08114e+08,1.52377e+08,1.43125e+08,2.21134e+08,1.65185e+08,1.35132e+08,1.32268e+08,1.65618e+08,1.60966e+08,1.66154e+08,1.64945e+08,1.29021e+08,1.28111e+08,1.55925e+08,1.6479e+08,1.23662e+08,1.21834e+08,9.56682e+07,9.33504e+07,1.12881e+08,1.12056e+08,1.51596e+08,1.4922e+08,1.19471e+08,1.17269e+08,1.47161e+08,1.48757e+08
1.4673e+08,1.42037e+08,1.13204e+08,1.0824e+08,1.51081e+08,1.43491e+08,2.20583e+08,1.65273e+08,1.35074e+08,1.32397e+08,1.64117e+08,1.61635e+08,1.66823e+08,1.64034e+08,1.28801e+08,1.27939e+08,1.56239e+08,1.57586e+08,1.23398e+08,1.2177e+08,9.59286e+07,9.33906e+07,1.1274e+08,1.12227e+08,1.51869e+08,1.49306e+08,1.19368e+08,1.16595e+08,1.47472e+08,1.4974e+08
1.4662e+08,1.41878e+08,1.13809e+08,1.08251e+08,1.56949e+08,1.43511e+08,2.23812e+08,1.67176e+08,1.35535e+08,1.31356e+08,1.70663e+08,1.60825e+08,1.6564e+08,1.6403e+08,1.29287e+08,1.27426e+08,1.55826e+08,1.55307e+08,1.23336e+08,1.21646e+08,9.55847e+07,9.33522e+07,1.13538e+08,1.12586e+08,1.52419e+08,1.48786e+08,1.19429e+08,1.16844e+08,1.50565e+08,1.50285e+08
1.46637e+08,1.42082e+08,1.13645e+08,1.08102e+08,1.51073e+08,1.43294e+08,2.20127e+08,1.67255e+08,1.34263e+08,1.3123e+08,1.64061e+08,1.62333e+08,1.65933e+08,1.63944e+08,1.28749e+08,1.27475e+08,1.55696e+08,1.56407e+08,1.23583e+08,1.21891e+08,9.49624e+07,9.34708e+07,1.12866e+08,1.12211e+08,1.51695e+08,1.48769e+08,1.19401e+08,1.1666e+08,1.48361e+08,1.49213e+08
1.4615e+08,1.42044e+08,1.13679e+08,1.08108e+08,1.57813e+08,1.43373e+08,1.71516e+08,1.67114e+08,1.35568e+08,1.3121e+08,1.70741e+08,1.6253e+08,1.658e+08,1.6405e+08,1.29504e+08,1.27374e+08,1.55715e+08,1.72596e+08,1.2387e+08,1.22216e+08,9.56564e+07,9.33889e+07,1.12779e+08,1.12237e+08,1.5297e+08,1.56462e+08,1.1927e+08,1.16934e+08,1.48125e+08,1.4882e+08
1.46218e+08,1.41928e+08,1.13464e+08,1.08128e+08,1.5697e+08,1.43103e+08,1.69827e+08,1.6641e+08,1.35273e+08,1.32246e+08,1.70292e+08,1.61715e+08,1.65918e+08,1.643e+08,1.29661e+08,1.27298e+08,1.55801e+08,1.55623e+08,1.23355e+08,1.21797e+08,9.48572e+07,9.36344e+07,1.13635e+08,1.12039e+08,1.51886e+08,1.49191e+08,1.19398e+08,1.16842e+08,1.47937e+08,1.48747e+08
1.46095e+08,1.41863e+08,1.1365e+08,1.07983e+08,1.51021e+08,1.43091e+08,1.69663e+08,1.67767e+08,1.36289e+08,1.32803e+08,1.65515e+08,1.60763e+08,1.75081e+08,1.63677e+08,1.29464e+08,1.28031e+08,1.5681e+08,1.55708e+08,1.23302e+08,1.21854e+08,9.51551e+07,9.33881e+07,1.12679e+08,1.12064e+08,1.51609e+08,1.5015e+08,1.19401e+08,1.16882e+08,1.48267e+08,1.48749e+08
1.4635e+08,1.41876e+08,1.1365e+08,1.07996e+08,1.50908e+08,1.43032e+08,1.69441e+08,1.67347e+08,1.35194e+08,1.32382e+08,1.65511e+08,1.61939e+08,1.65987e+08,1.63641e+08,1.28739e+08,1.27453e+08,1.56818e+08,1.55635e+08,1.23501e+08,1.21913e+08,9.58807e+07,9.33577e+07,1.12675e+08,1.1292e+08,1.51422e+08,1.49438e+08,1.19284e+08,1.18079e+08,1.48125e+08,1.51086e+08
1.53925e+08,1.41997e+08,1.13435e+08,1.08101e+08,1.56872e+08,1.43528e+08,1.73262e+08,1.6603e+08,1.35424e+08,1.32513e+08,1.69191e+08,1.6147e+08,1.65991e+08,1.63894e+08,1.28816e+08,1.27637e+08,1.56351e+08,1.55681e+08,1.29959e+08,1.22287e+08,9.59879e+07,9.34108e+07,1.12803e+08,1.12163e+08,1.51425e+08,1.48815e+08,1.19997e+08,1.16982e+08,1.4799e+08,1.51573e+08
