2019-09-01 17:16:24
Running ./bench
Run on (8 X 4000 MHz CPU s)
CPU Caches:
  L1 Data 32K (x4)
  L1 Instruction 32K (x4)
  L2 Unified 256K (x4)
  L3 Unified 8192K (x1)
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.4846e+08,1.48445e+08,ns,4.73955e+09,1.97481e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.46733e+08,1.46718e+08,ns,4.79534e+09,1.99806e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.46745e+08,1.4673e+08,ns,4.79494e+09,1.99789e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.46635e+08,1.4662e+08,ns,4.79853e+09,1.99939e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.46652e+08,1.46637e+08,ns,4.79797e+09,1.99916e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.46164e+08,1.4615e+08,ns,4.81395e+09,2.00581e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.46232e+08,1.46218e+08,ns,4.8117e+09,2.00488e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.4611e+08,1.46095e+08,ns,4.81577e+09,2.00657e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.46365e+08,1.4635e+08,ns,4.80737e+09,2.00307e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.53941e+08,1.53925e+08,ns,4.57079e+09,1.9045e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.46632e+08,1.46618e+08,ns,4.79861e+09,1.99942e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.46552e+08,1.46537e+08,ns,4.80123e+09,2.00051e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.46377e+08,1.46363e+08,ns,4.80696e+09,2.0029e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.46444e+08,1.4643e+08,ns,4.80476e+09,2.00198e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.46416e+08,1.46401e+08,ns,4.80569e+09,2.00237e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.46344e+08,1.4633e+08,ns,4.80804e+09,2.00335e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.46474e+08,1.46459e+08,ns,4.8038e+09,2.00158e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.461e+08,1.46085e+08,ns,4.81609e+09,2.00671e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.45947e+08,1.45932e+08,ns,4.82116e+09,2.00882e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.46036e+08,1.46021e+08,ns,4.81822e+09,2.00759e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.46103e+08,1.46088e+08,ns,4.81599e+09,2.00666e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.45986e+08,1.45971e+08,ns,4.81986e+09,2.00828e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.46213e+08,1.46199e+08,ns,4.81236e+09,2.00515e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.46057e+08,1.46043e+08,ns,4.8175e+09,2.00729e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.46034e+08,1.46019e+08,ns,4.81827e+09,2.00761e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.45912e+08,1.45897e+08,ns,4.82231e+09,2.00929e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.46013e+08,1.45999e+08,ns,4.81895e+09,2.0079e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.45919e+08,1.45905e+08,ns,4.82204e+09,2.00919e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.4591e+08,1.45895e+08,ns,4.82236e+09,2.00932e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.45948e+08,1.45934e+08,ns,4.82108e+09,2.00879e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.45896e+08,1.45881e+08,ns,4.82282e+09,2.00951e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.45945e+08,1.45931e+08,ns,4.82119e+09,2.00883e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.46472e+08,1.46457e+08,ns,4.80387e+09,2.00161e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.46346e+08,1.46331e+08,ns,4.80802e+09,2.00334e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.46367e+08,1.46353e+08,ns,4.80729e+09,2.00304e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.46343e+08,1.46329e+08,ns,4.80809e+09,2.00337e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.46397e+08,1.46382e+08,ns,4.80633e+09,2.00264e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.46275e+08,1.46259e+08,ns,4.81036e+09,2.00431e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.46266e+08,1.46251e+08,ns,4.81063e+09,2.00443e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.46459e+08,1.46444e+08,ns,4.80431e+09,2.0018e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.46374e+08,1.46359e+08,ns,4.80709e+09,2.00295e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.46282e+08,1.46268e+08,ns,4.81009e+09,2.0042e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.46454e+08,1.4644e+08,ns,4.80443e+09,2.00184e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.4626e+08,1.46246e+08,ns,4.8108e+09,2.0045e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.46423e+08,1.4641e+08,ns,4.80542e+09,2.00226e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.4645e+08,1.46436e+08,ns,4.80454e+09,2.00189e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.46354e+08,1.4634e+08,ns,4.80772e+09,2.00322e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.46466e+08,1.46452e+08,ns,4.80405e+09,2.00169e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.4628e+08,1.46265e+08,ns,4.81016e+09,2.00423e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.46214e+08,1.46199e+08,ns,4.81233e+09,2.00514e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.46424e+08,1.46409e+08,ns,4.80544e+09,2.00227e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.46381e+08,1.46366e+08,ns,4.80685e+09,2.00285e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.46242e+08,1.46227e+08,ns,4.81143e+09,2.00476e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.46261e+08,1.46247e+08,ns,4.81076e+09,2.00448e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.46393e+08,1.4638e+08,ns,4.8064e+09,2.00267e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.4629e+08,1.46277e+08,ns,4.80978e+09,2.00408e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.46442e+08,1.46428e+08,ns,4.80483e+09,2.00201e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.46503e+08,1.46489e+08,ns,4.80283e+09,2.00118e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.46424e+08,1.46409e+08,ns,4.80543e+09,2.00226e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.46417e+08,1.46403e+08,ns,4.80564e+09,2.00235e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.46464e+08,1.4645e+08,ns,4.8041e+09,2.00171e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.46471e+08,1.46457e+08,ns,4.80388e+09,2.00162e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.46352e+08,1.46337e+08,ns,4.8078e+09,2.00325e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.46476e+08,1.46461e+08,ns,4.80373e+09,2.00155e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.46369e+08,1.46356e+08,ns,4.80719e+09,2.003e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.4644e+08,1.46427e+08,ns,4.80486e+09,2.00202e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.46258e+08,1.46243e+08,ns,4.8109e+09,2.00454e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.46173e+08,1.46159e+08,ns,4.81368e+09,2.0057e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.46282e+08,1.46267e+08,ns,4.81009e+09,2.00421e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.46418e+08,1.46404e+08,ns,4.80562e+09,2.00234e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.46391e+08,1.46376e+08,ns,4.80652e+09,2.00272e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.46431e+08,1.46417e+08,ns,4.80519e+09,2.00216e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.46554e+08,1.4654e+08,ns,4.80115e+09,2.00048e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.46459e+08,1.46445e+08,ns,4.80425e+09,2.00177e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.46618e+08,1.46604e+08,ns,4.79906e+09,1.99961e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.46445e+08,1.46432e+08,ns,4.8047e+09,2.00196e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.464e+08,1.46386e+08,ns,4.80621e+09,2.00259e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.4645e+08,1.46436e+08,ns,4.80455e+09,2.0019e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.4662e+08,1.46605e+08,ns,4.79902e+09,1.99959e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.46702e+08,1.46688e+08,ns,4.79632e+09,1.99847e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.46886e+08,1.46871e+08,ns,4.79032e+09,1.99597e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.46821e+08,1.46807e+08,ns,4.79243e+09,1.99684e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.46664e+08,1.4665e+08,ns,4.79755e+09,1.99898e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.54349e+08,1.54334e+08,ns,4.55869e+09,1.89945e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.54477e+08,1.54462e+08,ns,4.55491e+09,1.89788e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.5481e+08,1.54795e+08,ns,4.54511e+09,1.8938e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.46722e+08,1.46708e+08,ns,4.79564e+09,1.99818e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.46842e+08,1.46829e+08,ns,4.79171e+09,1.99655e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.46679e+08,1.46665e+08,ns,4.79707e+09,1.99878e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.46717e+08,1.46702e+08,ns,4.79583e+09,1.99826e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.46853e+08,1.46839e+08,ns,4.79138e+09,1.99641e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.54076e+08,1.54061e+08,ns,4.56677e+09,1.90282e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.54031e+08,1.54016e+08,ns,4.5681e+09,1.90338e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.54176e+08,1.5416e+08,ns,4.56382e+09,1.90159e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.54756e+08,1.5474e+08,ns,4.54673e+09,1.89447e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.54854e+08,1.5484e+08,ns,4.54379e+09,1.89325e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.46408e+08,1.46392e+08,ns,4.80598e+09,2.00249e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.46258e+08,1.46242e+08,ns,4.81092e+09,2.00455e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.46372e+08,1.46357e+08,ns,4.80715e+09,2.00298e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.46311e+08,1.46295e+08,ns,4.80918e+09,2.00382e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0_mean",5,1.47114e+08,1.47099e+08,ns,4.78402e+09,1.99334e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0_median",5,1.46417e+08,1.46402e+08,ns,4.80566e+09,2.00236e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0_stddev",5,2.32041e+06,2.32019e+06,ns,7.22941e+07,3.01225e+06,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0_min",5,1.45896e+08,1.45881e+08,ns,4.54379e+09,1.89325e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0_max",5,1.54854e+08,1.5484e+08,ns,4.82282e+09,2.00951e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>_BigO",,29422.8,29419.9,N,,,,,
"BM_Template<Bench_ScatteredJointsAosWeights>_RMS",,0.0156938,0.0156939,,,,,,
"BM_Template<Bench_PooledJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.41888e+08,1.41875e+08,ns,4.95902e+09,2.06626e+08,,,
"BM_Template<Bench_PooledJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.42059e+08,1.42045e+08,ns,4.95309e+09,2.06379e+08,,,
"BM_Template<Bench_PooledJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.4205e+08,1.42037e+08,ns,4.95335e+09,2.0639e+08,,,
