2019-09-01 17:16:52
Running ./bench
Run on (8 X 3700 MHz CPU s)
CPU Caches:
  L1 Data 32K (x4)
  L1 Instruction 32K (x4)
  L2 Unified 256K (x4)
  L3 Unified 10240K (x1)
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",4,1.6604e+08,1.66033e+08,ns,4.23747e+09,1.76561e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",4,1.66159e+08,1.66154e+08,ns,4.23439e+09,1.76433e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",4,1.66992e+08,1.66823e+08,ns,4.2174e+09,1.75725e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",4,1.65646e+08,1.6564e+08,ns,4.24753e+09,1.7698e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",4,1.65939e+08,1.65933e+08,ns,4.24002e+09,1.76667e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",4,1.65803e+08,1.658e+08,ns,4.24342e+09,1.76809e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",4,1.65925e+08,1.65918e+08,ns,4.24041e+09,1.76684e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",4,1.75084e+08,1.75081e+08,ns,4.01848e+09,1.67437e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",4,1.65989e+08,1.65987e+08,ns,4.23865e+09,1.7661e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",4,1.65996e+08,1.65991e+08,ns,4.23853e+09,1.76605e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",4,1.65885e+08,1.65882e+08,ns,4.24133e+09,1.76722e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",4,1.66059e+08,1.66057e+08,ns,4.23686e+09,1.76536e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",4,1.65976e+08,1.65971e+08,ns,4.23906e+09,1.76628e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",4,1.66209e+08,1.66207e+08,ns,4.23305e+09,1.76377e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",4,1.6722e+08,1.67218e+08,ns,4.20745e+09,1.7531e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",4,1.66145e+08,1.6614e+08,ns,4.23474e+09,1.76447e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",4,1.66143e+08,1.66138e+08,ns,4.23478e+09,1.76449e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",4,1.66342e+08,1.66339e+08,ns,4.22967e+09,1.76236e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",4,1.66237e+08,1.66232e+08,ns,4.23241e+09,1.7635e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",4,1.65952e+08,1.65948e+08,ns,4.23965e+09,1.76652e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",4,1.6608e+08,1.66075e+08,ns,4.2364e+09,1.76517e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",4,1.65783e+08,1.65781e+08,ns,4.24392e+09,1.7683e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",4,1.75662e+08,1.7566e+08,ns,4.00524e+09,1.66885e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",4,1.65871e+08,1.65869e+08,ns,4.24167e+09,1.76736e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",4,1.74426e+08,1.74421e+08,ns,4.03369e+09,1.68071e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",4,1.66089e+08,1.66085e+08,ns,4.23614e+09,1.76506e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",4,1.66205e+08,1.66202e+08,ns,4.23316e+09,1.76382e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",4,1.66374e+08,1.6637e+08,ns,4.2289e+09,1.76204e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",4,1.65748e+08,1.65746e+08,ns,4.24482e+09,1.76867e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",4,1.66337e+08,1.66335e+08,ns,4.22978e+09,1.76241e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",4,1.65846e+08,1.65842e+08,ns,4.24236e+09,1.76765e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",4,1.66097e+08,1.66094e+08,ns,4.2359e+09,1.76496e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",4,1.66106e+08,1.66099e+08,ns,4.2358e+09,1.76492e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",4,1.66162e+08,1.66157e+08,ns,4.23432e+09,1.7643e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",4,1.66323e+08,1.66321e+08,ns,4.23014e+09,1.76256e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",4,1.66056e+08,1.66054e+08,ns,4.23693e+09,1.76539e+08,,,
