2019-06-23 17:07:16
Running ./bench
Run on (8 X 4500 MHz CPU s)
CPU Caches:
  L1 Data 32K (x4)
  L1 Instruction 32K (x4)
  L2 Unified 256K (x4)
  L3 Unified 8192K (x1)
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",6,1.23997e+08,1.23985e+08,ns,5.67457e+09,2.3644e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",6,1.23626e+08,1.23626e+08,ns,5.69104e+09,2.37127e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",6,1.24104e+08,1.24105e+08,ns,5.66906e+09,2.36211e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",6,1.24058e+08,1.24045e+08,ns,5.67179e+09,2.36325e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",6,1.24772e+08,1.24759e+08,ns,5.63934e+09,2.34973e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",6,1.24084e+08,1.24084e+08,ns,5.67001e+09,2.3625e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",6,1.25091e+08,1.25091e+08,ns,5.6244e+09,2.3435e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",6,1.24255e+08,1.24242e+08,ns,5.66281e+09,2.3595e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",6,1.23723e+08,1.23724e+08,ns,5.68654e+09,2.36939e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",6,1.24394e+08,1.24394e+08,ns,5.65589e+09,2.35662e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",6,1.23654e+08,1.23642e+08,ns,5.69032e+09,2.37096e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",6,1.22961e+08,1.22944e+08,ns,5.72263e+09,2.38443e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",6,1.23344e+08,1.23344e+08,ns,5.70404e+09,2.37668e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",6,1.24109e+08,1.24109e+08,ns,5.66888e+09,2.36203e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",6,1.23222e+08,1.2321e+08,ns,5.71023e+09,2.37926e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",6,1.2384e+08,1.2384e+08,ns,5.68119e+09,2.36716e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",6,1.24088e+08,1.24089e+08,ns,5.66979e+09,2.36241e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",6,1.24074e+08,1.24062e+08,ns,5.67105e+09,2.36294e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",6,1.23073e+08,1.23059e+08,ns,5.71727e+09,2.38219e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",6,1.2384e+08,1.23841e+08,ns,5.68116e+09,2.36715e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",6,1.23979e+08,1.2398e+08,ns,5.6748e+09,2.3645e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",6,1.23319e+08,1.23319e+08,ns,5.7052e+09,2.37717e+08,,,
