2019-06-23 17:08:14
Running ./bench
Run on (8 X 4000 MHz CPU s)
CPU Caches:
  L1 Data 32K (x4)
  L1 Instruction 32K (x4)
  L2 Unified 256K (x4)
  L3 Unified 8192K (x1)
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",3,2.11671e+08,2.11539e+08,ns,3.32591e+09,1.38579e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",3,2.21023e+08,2.1894e+08,ns,3.21349e+09,1.33895e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",3,2.17405e+08,2.14617e+08,ns,3.27821e+09,1.36592e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",3,2.17611e+08,2.15711e+08,ns,3.26159e+09,1.35899e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",3,2.17036e+08,2.14981e+08,ns,3.27266e+09,1.36361e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",3,2.16594e+08,2.16014e+08,ns,3.25701e+09,1.35709e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",3,2.15986e+08,2.14763e+08,ns,3.27599e+09,1.36499e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",3,2.15475e+08,2.14318e+08,ns,3.28278e+09,1.36782e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",3,2.20153e+08,2.15298e+08,ns,3.26785e+09,1.3616e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",3,2.13707e+08,2.13588e+08,ns,3.29401e+09,1.3725e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",3,2.24419e+08,2.1631e+08,ns,3.25256e+09,1.35523e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",3,2.18503e+08,2.15731e+08,ns,3.26129e+09,1.35887e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",3,2.15238e+08,2.14433e+08,ns,3.28102e+09,1.36709e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",3,2.21969e+08,2.14316e+08,ns,3.28282e+09,1.36784e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",3,2.21123e+08,2.12907e+08,ns,3.30454e+09,1.37689e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",3,2.21585e+08,2.17509e+08,ns,3.23463e+09,1.34776e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",3,2.20256e+08,2.16841e+08,ns,3.24459e+09,1.35191e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",3,2.18858e+08,2.16232e+08,ns,3.25373e+09,1.35572e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",3,2.16709e+08,2.15662e+08,ns,3.26232e+09,1.3593e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",3,2.17292e+08,2.16271e+08,ns,3.25314e+09,1.35548e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",3,2.19489e+08,2.16179e+08,ns,3.25453e+09,1.35605e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",3,2.1863e+08,2.17855e+08,ns,3.22949e+09,1.34562e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",3,2.25464e+08,2.18443e+08,ns,3.22079e+09,1.342e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",3,2.18952e+08,2.13704e+08,ns,3.29222e+09,1.37176e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",3,2.16191e+08,2.16144e+08,ns,3.25506e+09,1.35627e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",3,2.18148e+08,2.1729e+08,ns,3.23788e+09,1.34912e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",3,2.16989e+08,2.16787e+08,ns,3.24539e+09,1.35225e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",3,2.17313e+08,2.14657e+08,ns,3.27761e+09,1.36567e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",3,2.18443e+08,2.15624e+08,ns,3.2629e+09,1.35954e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",3,2.34197e+08,2.26332e+08,ns,3.10854e+09,1.29522e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",3,2.14726e+08,2.13386e+08,ns,3.29713e+09,1.3738e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",3,2.10696e+08,2.10582e+08,ns,3.34103e+09,1.3921e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",3,2.11774e+08,2.11728e+08,ns,3.32294e+09,1.38456e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",3,2.18158e+08,2.15673e+08,ns,3.26216e+09,1.35923e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",3,2.16645e+08,2.16615e+08,ns,3.24798e+09,1.35333e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",3,2.17225e+08,2.17023e+08,ns,3.24186e+09,1.35078e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",3,2.1887e+08,2.17427e+08,ns,3.23584e+09,1.34827e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",3,2.16184e+08,2.16081e+08,ns,3.256e+09,1.35667e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",3,2.16155e+08,2.15416e+08,ns,3.26605e+09,1.36085e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",3,2.26314e+08,2.18634e+08,ns,3.21798e+09,1.34082e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",3,2.29712e+08,2.17418e+08,ns,3.23598e+09,1.34833e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",3,2.26611e+08,2.23218e+08,ns,3.1519e+09,1.31329e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",3,2.16941e+08,2.15475e+08,ns,3.26516e+09,1.36048e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",3,2.26338e+08,2.13968e+08,ns,3.28815e+09,1.37006e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",3,2.16832e+08,2.1403e+08,ns,3.2872e+09,1.36967e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",3,2.19663e+08,2.15289e+08,ns,3.26798e+09,1.36166e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",3,2.1553e+08,2.13238e+08,ns,3.2994e+09,1.37475e+08,,,
