2019-09-01 17:12:45
Running ./bench
Run on (8 X 4000 MHz CPU s)
CPU Caches:
  L1 Data 32K (x4)
  L1 Instruction 32K (x4)
  L2 Unified 256K (x4)
  L3 Unified 8192K (x1)
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:500/FlushCache:0",48,1.47172e+07,1.47159e+07,ns,4.78094e+09,1.99206e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:1000/FlushCache:0",23,2.93896e+07,2.93868e+07,ns,4.78828e+09,1.99512e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:1500/FlushCache:0",16,4.41916e+07,4.41874e+07,ns,4.77666e+09,1.99027e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:2000/FlushCache:0",12,6.03588e+07,6.03525e+07,ns,4.66301e+09,1.94292e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:2500/FlushCache:0",9,7.54623e+07,7.54543e+07,ns,4.66216e+09,1.94257e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:3000/FlushCache:0",8,8.82132e+07,8.82048e+07,ns,4.78586e+09,1.99411e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:3500/FlushCache:0",7,1.02745e+08,1.02734e+08,ns,4.79383e+09,1.99743e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:4000/FlushCache:0",6,1.17356e+08,1.17345e+08,ns,4.79654e+09,1.99856e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:4500/FlushCache:0",5,1.3157e+08,1.31557e+08,ns,4.81316e+09,2.00548e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.46381e+08,1.46367e+08,ns,4.80683e+09,2.00285e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>_BigO",,29403.1,29400.2,N,,,,,
"BM_Template<Bench_ScatteredJointsAosWeights>_RMS",,0.0105349,0.0105323,,,,,,
"BM_Template<Bench_PooledJointsAosWeights>/NumDuplicates:500/FlushCache:0",49,1.41851e+07,1.4184e+07,ns,4.96024e+09,2.06677e+08,,,
"BM_Template<Bench_PooledJointsAosWeights>/NumDuplicates:1000/FlushCache:0",24,2.86649e+07,2.86624e+07,ns,4.90928e+09,2.04553e+08,,,
"BM_Template<Bench_PooledJointsAosWeights>/NumDuplicates:1500/FlushCache:0",16,4.30096e+07,4.30059e+07,ns,4.90789e+09,2.04495e+08,,,
"BM_Template<Bench_PooledJointsAosWeights>/NumDuplicates:2000/FlushCache:0",12,5.73487e+07,5.73434e+07,ns,4.9077e+09,2.04488e+08,,,
"BM_Template<Bench_PooledJointsAosWeights>/NumDuplicates:2500/FlushCache:0",10,7.15391e+07,7.15324e+07,ns,4.91777e+09,2.04907e+08,,,
