2019-06-12 18:50:03
Running ./bench
Run on (8 X 3800 MHz CPU s)
CPU Caches:
  L1 Data 32K (x4)
  L1 Instruction 32K (x4)
  L2 Unified 256K (x4)
  L3 Unified 10240K (x1)
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:500/FlushCache:0",43,1.46033e+07,1.46047e+07,ns,4.81737e+09,2.00724e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:1000/FlushCache:0",24,2.92082e+07,2.92084e+07,ns,4.81751e+09,2.0073e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:1500/FlushCache:0",16,4.37686e+07,4.37686e+07,ns,4.82236e+09,2.00932e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:2000/FlushCache:0",12,5.83933e+07,5.83939e+07,ns,4.81941e+09,2.00809e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:2500/FlushCache:0",10,7.29138e+07,7.29137e+07,ns,4.82461e+09,2.01025e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:3000/FlushCache:0",8,8.80062e+07,8.80062e+07,ns,4.79666e+09,1.99861e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:3500/FlushCache:0",7,1.02412e+08,1.02413e+08,ns,4.80888e+09,2.0037e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:4000/FlushCache:0",6,1.16525e+08,1.16523e+08,ns,4.83034e+09,2.01264e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:4500/FlushCache:0",5,1.31303e+08,1.31302e+08,ns,4.8225e+09,2.00938e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.45749e+08,1.45747e+08,ns,4.82728e+09,2.01137e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>_BigO",,29188.6,29188.4,N,,,,,
"BM_Template<Bench_ScatteredJointsAosWeights>_RMS",,0.00234272,0.00235102,,,,,,
"BM_Template<Bench_PooledJointsAosWeights>/NumDuplicates:500/FlushCache:0",49,1.44062e+07,1.4407e+07,ns,4.88347e+09,2.03478e+08,,,
"BM_Template<Bench_PooledJointsAosWeights>/NumDuplicates:1000/FlushCache:0",24,2.89682e+07,2.89691e+07,ns,4.85731e+09,2.02388e+08,,,
"BM_Template<Bench_PooledJointsAosWeights>/NumDuplicates:1500/FlushCache:0",16,4.32664e+07,4.32667e+07,ns,4.8783e+09,2.03262e+08,,,
"BM_Template<Bench_PooledJointsAosWeights>/NumDuplicates:2000/FlushCache:0",12,5.74701e+07,5.74709e+07,ns,4.89681e+09,2.04034e+08,,,
"BM_Template<Bench_PooledJointsAosWeights>/NumDuplicates:2500/FlushCache:0",10,7.16461e+07,7.16471e+07,ns,4.9099e+09,2.04579e+08,,,
"BM_Template<Bench_PooledJointsAosWeights>/NumDuplicates:3000/FlushCache:0",8,8.59609e+07,8.59593e+07,ns,4.91088e+09,2.0462e+08,,,
"BM_Template<Bench_PooledJointsAosWeights>/NumDuplicates:3500/FlushCache:0",7,1.00503e+08,1.00505e+08,ns,4.90019e+09,2.04175e+08,,,
"BM_Template<Bench_PooledJointsAosWeights>/NumDuplicates:4000/FlushCache:0",6,1.14779e+08,1.14779e+08,ns,4.90376e+09,2.04324e+08,,,
"BM_Template<Bench_PooledJointsAosWeights>/NumDuplicates:4500/FlushCache:0",5,1.29136e+08,1.29137e+08,ns,4.90337e+09,2.04307e+08,,,
"BM_Template<Bench_PooledJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.43943e+08,1.43943e+08,ns,4.88777e+09,2.03657e+08,,,
"BM_Template<Bench_PooledJointsAosWeights>_BigO",,28724.3,28724.4,N,,,,,
"BM_Template<Bench_PooledJointsAosWeights>_RMS",,0.00219213,0.00219441,,,,,,
"BM_Template<Bench_ScatteredJointsMixedWeights>/NumDuplicates:500/FlushCache:0",61,1.15023e+07,1.15029e+07,ns,6.11638e+09,2.54849e+08,,,
"BM_Template<Bench_ScatteredJointsMixedWeights>/NumDuplicates:1000/FlushCache:0",31,2.27906e+07,2.27913e+07,ns,6.17394e+09,2.57248e+08,,,
"BM_Template<Bench_ScatteredJointsMixedWeights>/NumDuplicates:1500/FlushCache:0",20,3.41931e+07,3.41935e+07,ns,6.17275e+09,2.57198e+08,,,
"BM_Template<Bench_ScatteredJointsMixedWeights>/NumDuplicates:2000/FlushCache:0",15,4.54633e+07,4.54639e+07,ns,6.19006e+09,2.57919e+08,,,
"BM_Template<Bench_ScatteredJointsMixedWeights>/NumDuplicates:2500/FlushCache:0",12,5.68694e+07,5.68693e+07,ns,6.18577e+09,2.5774e+08,,,
"BM_Template<Bench_ScatteredJointsMixedWeights>/NumDuplicates:3000/FlushCache:0",10,6.81705e+07,6.81709e+07,ns,6.19232e+09,2.58013e+08,,,
"BM_Template<Bench_ScatteredJointsMixedWeights>/NumDuplicates:3500/FlushCache:0",9,7.95529e+07,7.95518e+07,ns,6.19083e+09,2.57951e+08,,,
"BM_Template<Bench_ScatteredJointsMixedWeights>/NumDuplicates:4000/FlushCache:0",8,9.06375e+07,9.06384e+07,ns,6.20982e+09,2.58742e+08,,,
"BM_Template<Bench_ScatteredJointsMixedWeights>/NumDuplicates:4500/FlushCache:0",7,1.02383e+08,1.02382e+08,ns,6.18469e+09,2.57696e+08,,,
"BM_Template<Bench_ScatteredJointsMixedWeights>/NumDuplicates:5000/FlushCache:0",6,1.13202e+08,1.13201e+08,ns,6.21513e+09,2.58964e+08,,,
"BM_Template<Bench_ScatteredJointsMixedWeights>_BigO",,22703,22702.9,N,,,,,
"BM_Template<Bench_ScatteredJointsMixedWeights>_RMS",,0.00255303,0.00255427,,,,,,
"BM_Template<Bench_PooledJointsMixedWeights>/NumDuplicates:500/FlushCache:0",62,1.12747e+07,1.12754e+07,ns,6.23979e+09,2.59991e+08,,,
