2019-09-08 13:59:12
Running ./bench
Run on (4 X 3200 MHz CPU s)
CPU Caches:
  L1 Data 32K (x2)
  L1 Instruction 32K (x2)
  L2 Unified 256K (x2)
  L3 Unified 3072K (x1)
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:500/FlushCache:0",41,1.7238e+07,1.72272e+07,ns,4.084e+09,1.70167e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:1000/FlushCache:0",20,3.46485e+07,3.46239e+07,ns,4.06402e+09,1.69334e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:1500/FlushCache:0",12,5.17774e+07,5.17366e+07,ns,4.07967e+09,1.69986e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:2000/FlushCache:0",10,7.20658e+07,7.20167e+07,ns,3.90776e+09,1.62823e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:2500/FlushCache:0",8,9.04203e+07,9.03562e+07,ns,3.89326e+09,1.62219e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:3000/FlushCache:0",7,1.03478e+08,1.0347e+08,ns,4.07979e+09,1.69991e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:3500/FlushCache:0",6,1.20637e+08,1.20625e+08,ns,4.08283e+09,1.70118e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:4000/FlushCache:0",5,1.37199e+08,1.37196e+08,ns,4.10252e+09,1.70938e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:4500/FlushCache:0",5,1.54394e+08,1.54392e+08,ns,4.10127e+09,1.70886e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",4,1.71903e+08,1.71899e+08,ns,4.09287e+09,1.70536e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>_BigO",,34564.8,34560.1,N,,,,,
"BM_Template<Bench_ScatteredJointsAosWeights>_RMS",,0.0175923,0.0173563,,,,,,
"BM_Template<Bench_PooledJointsAosWeights>/NumDuplicates:500/FlushCache:0",42,1.69806e+07,1.69801e+07,ns,4.14344e+09,1.72643e+08,,,
"BM_Template<Bench_PooledJointsAosWeights>/NumDuplicates:1000/FlushCache:0",21,3.38258e+07,3.38246e+07,ns,4.16004e+09,1.73335e+08,,,
"BM_Template<Bench_PooledJointsAosWeights>/NumDuplicates:1500/FlushCache:0",14,5.0922e+07,5.0921e+07,ns,4.14501e+09,1.72709e+08,,,
"BM_Template<Bench_PooledJointsAosWeights>/NumDuplicates:2000/FlushCache:0",10,6.79314e+07,6.79294e+07,ns,4.14289e+09,1.7262e+08,,,
"BM_Template<Bench_PooledJointsAosWeights>/NumDuplicates:2500/FlushCache:0",8,8.46491e+07,8.46416e+07,ns,4.15611e+09,1.73171e+08,,,
"BM_Template<Bench_PooledJointsAosWeights>/NumDuplicates:3000/FlushCache:0",7,1.0111e+08,1.0111e+08,ns,4.17503e+09,1.7396e+08,,,
"BM_Template<Bench_PooledJointsAosWeights>/NumDuplicates:3500/FlushCache:0",6,1.1886e+08,1.18858e+08,ns,4.14353e+09,1.72647e+08,,,
"BM_Template<Bench_PooledJointsAosWeights>/NumDuplicates:4000/FlushCache:0",5,1.35377e+08,1.35373e+08,ns,4.15774e+09,1.73239e+08,,,
"BM_Template<Bench_PooledJointsAosWeights>/NumDuplicates:4500/FlushCache:0",5,1.52257e+08,1.52252e+08,ns,4.15891e+09,1.73288e+08,,,
"BM_Template<Bench_PooledJointsAosWeights>/NumDuplicates:5000/FlushCache:0",4,1.68878e+08,1.68878e+08,ns,4.16609e+09,1.73587e+08,,,
"BM_Template<Bench_PooledJointsAosWeights>_BigO",,33834.6,33833.9,N,,,,,
"BM_Template<Bench_PooledJointsAosWeights>_RMS",,0.00249947,0.00249218,,,,,,
"BM_Template<Bench_ScatteredJointsMixedWeights>/NumDuplicates:500/FlushCache:0",50,1.39359e+07,1.39359e+07,ns,5.04854e+09,2.10356e+08,,,
"BM_Template<Bench_ScatteredJointsMixedWeights>/NumDuplicates:1000/FlushCache:0",25,2.7768e+07,2.77684e+07,ns,5.06734e+09,2.11139e+08,,,
"BM_Template<Bench_ScatteredJointsMixedWeights>/NumDuplicates:1500/FlushCache:0",17,4.15216e+07,4.15202e+07,ns,5.0835e+09,2.11813e+08,,,
"BM_Template<Bench_ScatteredJointsMixedWeights>/NumDuplicates:2000/FlushCache:0",13,5.54847e+07,5.54848e+07,ns,5.07209e+09,2.11337e+08,,,
"BM_Template<Bench_ScatteredJointsMixedWeights>/NumDuplicates:2500/FlushCache:0",10,6.8848e+07,6.88474e+07,ns,5.10956e+09,2.12898e+08,,,
"BM_Template<Bench_ScatteredJointsMixedWeights>/NumDuplicates:3000/FlushCache:0",8,8.24419e+07,8.24373e+07,ns,5.12069e+09,2.13362e+08,,,
