Count,Scattered-Aos,Pooled-Aos,Scattered-Mixed,Pooled-Mixed,Scattered-Soa,Pooled-Soa
1e5,1.47159e+07,1.4184e+07,1.10768e+07,1.06476e+07,1.47909e+07,1.4113e+07
2e5,2.93868e+07,2.86624e+07,2.26679e+07,2.16566e+07,3.03207e+07,2.87375e+07
3e5,4.41874e+07,4.30059e+07,3.41772e+07,3.25563e+07,4.56542e+07,4.30838e+07
4e5,6.03525e+07,5.73434e+07,4.52572e+07,4.31995e+07,6.09545e+07,5.73493e+07
5e5,7.54543e+07,7.15324e+07,5.65631e+07,5.30743e+07,7.58058e+07,7.15443e+07
6e5,8.82048e+07,8.56687e+07,6.76408e+07,6.47668e+07,9.08389e+07,8.58802e+07
7e5,1.02734e+08,9.978e+07,7.87858e+07,7.54627e+07,1.05947e+08,1.00087e+08
8e5,1.17345e+08,1.13985e+08,8.99092e+07,8.63069e+07,1.20986e+08,1.14417e+08
9e5,1.31557e+08,1.28109e+08,1.00943e+08,9.70169e+07,1.36033e+08,1.28775e+08
1e6,1.46367e+08,1.4205e+08,1.1246e+08,1.07979e+08,1.51234e+08,1.43219e+08
