Count,Scattered-Aos,Pooled-Aos,Scattered-Mixed,Pooled-Mixed,Scattered-Soa,Pooled-Soa
1e5,1.65983e+07,1.68443e+07,1.29137e+07,1.27336e+07,1.56333e+07,1.55254e+07
2e5,3.31548e+07,3.28009e+07,2.57259e+07,2.55415e+07,3.11728e+07,3.10033e+07
3e5,4.9753e+07,4.92516e+07,3.86214e+07,3.82967e+07,4.6788e+07,4.6489e+07
4e5,6.65419e+07,6.55981e+07,5.17156e+07,5.1015e+07,6.26631e+07,6.1991e+07
5e5,8.28627e+07,8.18255e+07,6.44547e+07,6.37318e+07,7.77892e+07,7.83105e+07
6e5,9.96559e+07,9.82151e+07,7.75744e+07,7.65857e+07,9.34773e+07,9.329e+07
7e5,1.16149e+08,1.14496e+08,9.01024e+07,8.92867e+07,1.09098e+08,1.08793e+08
8e5,1.33548e+08,1.31198e+08,1.03318e+08,1.02091e+08,1.2548e+08,1.24402e+08
9e5,1.49337e+08,1.47254e+08,1.16087e+08,1.14763e+08,1.4015e+08,1.39794e+08
1e6,1.65859e+08,1.63711e+08,1.29109e+08,1.27473e+08,1.56014e+08,1.55052e+08
