Count,Scattered-Aos,Pooled-Aos,Scattered-Mixed,Pooled-Mixed,Scattered-Soa,Pooled-Soa
1e5,1.72272e+07,1.69801e+07,1.39359e+07,1.35895e+07,1.69143e+07,1.69588e+07
2e5,3.46239e+07,3.38246e+07,2.77684e+07,2.71084e+07,3.3747e+07,3.31879e+07
3e5,5.17366e+07,5.0921e+07,4.15202e+07,4.05139e+07,5.04588e+07,4.95547e+07
4e5,7.20167e+07,6.79294e+07,5.54848e+07,5.38248e+07,6.76693e+07,6.58726e+07
5e5,9.03562e+07,8.46416e+07,6.88474e+07,6.73946e+07,8.41169e+07,8.2592e+07
6e5,1.0347e+08,1.0111e+08,8.24373e+07,8.09313e+07,1.01052e+08,9.86257e+07
7e5,1.20625e+08,1.18858e+08,9.61486e+07,9.41875e+07,1.17798e+08,1.15185e+08
8e5,1.37196e+08,1.35373e+08,1.09547e+08,1.07151e+08,1.34211e+08,1.31497e+08
9e5,1.54392e+08,1.52252e+08,1.23357e+08,1.20735e+08,1.50851e+08,1.47822e+08
1e6,1.71899e+08,1.68878e+08,1.37308e+08,1.34441e+08,1.67158e+08,1.63578e+08
