Count,Scattered-Aos,Pooled-Aos,Scattered-Mixed,Pooled-Mixed,Scattered-Soa,Pooled-Soa
1e5,1.49851e+07,1.50804e+07,1.22478e+07,1.18216e+07,1.48816e+07,1.47515e+07
2e5,3.06824e+07,2.99308e+07,2.41732e+07,2.49474e+07,2.96135e+07,2.94031e+07
3e5,4.56071e+07,4.48168e+07,3.78832e+07,3.93985e+07,4.52003e+07,4.42804e+07
4e5,6.13489e+07,6.00698e+07,5.00726e+07,4.83925e+07,5.92597e+07,5.94587e+07
5e5,7.57225e+07,7.49152e+07,6.11294e+07,6.37657e+07,7.40804e+07,7.36977e+07
6e5,9.1973e+07,8.99096e+07,7.28164e+07,7.18403e+07,8.87928e+07,8.84999e+07
7e5,1.06007e+08,1.06672e+08,8.14086e+07,8.39488e+07,1.03106e+08,1.06254e+08
8e5,1.21293e+08,1.23984e+08,9.4242e+07,9.59743e+07,1.18095e+08,1.18644e+08
9e5,1.36852e+08,1.37553e+08,1.09486e+08,1.10181e+08,1.3254e+08,1.37062e+08
1e6,1.53744e+08,1.5504e+08,1.16293e+08,1.17171e+08,1.47832e+08,1.46477e+08
