2019-09-01 17:45:13
Running ./bench
Run on (8 X 4500 MHz CPU s)
CPU Caches:
  L1 Data 32K (x4)
  L1 Instruction 32K (x4)
  L2 Unified 256K (x4)
  L3 Unified 8192K (x1)
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:500/FlushCache:0",56,1.24101e+07,1.24104e+07,ns,5.6691e+09,2.36212e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:1000/FlushCache:0",28,2.49295e+07,2.493e+07,ns,5.64428e+09,2.35178e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:1500/FlushCache:0",19,3.70979e+07,3.70981e+07,ns,5.68945e+09,2.37061e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:2000/FlushCache:0",14,4.94998e+07,4.95002e+07,ns,5.68531e+09,2.36888e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:2500/FlushCache:0",11,6.20112e+07,6.20115e+07,ns,5.67282e+09,2.36367e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:3000/FlushCache:0",9,7.48276e+07,7.48279e+07,ns,5.64143e+09,2.35059e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:3500/FlushCache:0",8,8.67185e+07,8.67194e+07,ns,5.67914e+09,2.36631e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:4000/FlushCache:0",7,9.9017e+07,9.90166e+07,ns,5.68438e+09,2.36849e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:4500/FlushCache:0",6,1.11331e+08,1.11331e+08,ns,5.68759e+09,2.36983e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",6,1.24117e+08,1.24117e+08,ns,5.66851e+09,2.36188e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>_BigO",,24794.3,24794.3,N,,,,,
"BM_Template<Bench_ScatteredJointsAosWeights>_RMS",,0.00271801,0.00271915,,,,,,
"BM_Template<Bench_PooledJointsAosWeights>/NumDuplicates:500/FlushCache:0",57,1.22224e+07,1.22228e+07,ns,5.75611e+09,2.39838e+08,,,
"BM_Template<Bench_PooledJointsAosWeights>/NumDuplicates:1000/FlushCache:0",29,2.44784e+07,2.4479e+07,ns,5.74827e+09,2.39511e+08,,,
"BM_Template<Bench_PooledJointsAosWeights>/NumDuplicates:1500/FlushCache:0",19,3.67106e+07,3.67112e+07,ns,5.74942e+09,2.39559e+08,,,
"BM_Template<Bench_PooledJointsAosWeights>/NumDuplicates:2000/FlushCache:0",14,4.89861e+07,4.89868e+07,ns,5.74489e+09,2.3937e+08,,,
"BM_Template<Bench_PooledJointsAosWeights>/NumDuplicates:2500/FlushCache:0",11,6.33572e+07,6.33574e+07,ns,5.55231e+09,2.31346e+08,,,
"BM_Template<Bench_PooledJointsAosWeights>/NumDuplicates:3000/FlushCache:0",9,7.99347e+07,7.99346e+07,ns,5.28101e+09,2.20042e+08,,,
"BM_Template<Bench_PooledJointsAosWeights>/NumDuplicates:3500/FlushCache:0",7,8.55551e+07,8.55559e+07,ns,5.75638e+09,2.39849e+08,,,
"BM_Template<Bench_PooledJointsAosWeights>/NumDuplicates:4000/FlushCache:0",7,9.7727e+07,9.77278e+07,ns,5.75935e+09,2.39973e+08,,,
"BM_Template<Bench_PooledJointsAosWeights>/NumDuplicates:4500/FlushCache:0",6,1.1061e+08,1.10611e+08,ns,5.7246e+09,2.38525e+08,,,
"BM_Template<Bench_PooledJointsAosWeights>/NumDuplicates:5000/FlushCache:0",6,1.22531e+08,1.22532e+08,ns,5.74184e+09,2.39243e+08,,,
"BM_Template<Bench_PooledJointsAosWeights>_BigO",,24754.1,24754.2,N,,,,,
"BM_Template<Bench_PooledJointsAosWeights>_RMS",,0.0292765,0.0292729,,,,,,
"BM_Template<Bench_ScatteredJointsMixedWeights>/NumDuplicates:500/FlushCache:0",73,9.59935e+06,9.59964e+06,ns,7.32902e+09,3.05376e+08,,,
"BM_Template<Bench_ScatteredJointsMixedWeights>/NumDuplicates:1000/FlushCache:0",36,1.92446e+07,1.92449e+07,ns,7.31166e+09,3.04653e+08,,,
"BM_Template<Bench_ScatteredJointsMixedWeights>/NumDuplicates:1500/FlushCache:0",24,2.87068e+07,2.87072e+07,ns,7.35244e+09,3.06352e+08,,,
"BM_Template<Bench_ScatteredJointsMixedWeights>/NumDuplicates:2000/FlushCache:0",18,3.85035e+07,3.8504e+07,ns,7.30896e+09,3.0454e+08,,,
"BM_Template<Bench_ScatteredJointsMixedWeights>/NumDuplicates:2500/FlushCache:0",14,4.79761e+07,4.79767e+07,ns,7.33231e+09,3.05513e+08,,,
"BM_Template<Bench_ScatteredJointsMixedWeights>/NumDuplicates:3000/FlushCache:0",12,5.75171e+07,5.75176e+07,ns,7.33924e+09,3.05802e+08,,,
"BM_Template<Bench_ScatteredJointsMixedWeights>/NumDuplicates:3500/FlushCache:0",10,6.74061e+07,6.74068e+07,ns,7.30627e+09,3.04428e+08,,,
"BM_Template<Bench_ScatteredJointsMixedWeights>/NumDuplicates:4000/FlushCache:0",9,7.69029e+07,7.69036e+07,ns,7.31888e+09,3.04953e+08,,,
"BM_Template<Bench_ScatteredJointsMixedWeights>/NumDuplicates:4500/FlushCache:0",8,8.68031e+07,8.68038e+07,ns,7.29466e+09,3.03944e+08,,,
"BM_Template<Bench_ScatteredJointsMixedWeights>/NumDuplicates:5000/FlushCache:0",7,9.61518e+07,9.61524e+07,ns,7.31713e+09,3.04881e+08,,,
"BM_Template<Bench_ScatteredJointsMixedWeights>_BigO",,19236.5,19236.6,N,,,,,
"BM_Template<Bench_ScatteredJointsMixedWeights>_RMS",,0.00223351,0.00223272,,,,,,
"BM_Template<Bench_PooledJointsMixedWeights>/NumDuplicates:500/FlushCache:0",74,9.46296e+06,9.46322e+06,ns,7.43468e+09,3.09778e+08,,,
"BM_Template<Bench_PooledJointsMixedWeights>/NumDuplicates:1000/FlushCache:0",37,1.89026e+07,1.89028e+07,ns,7.44396e+09,3.10165e+08,,,
"BM_Template<Bench_PooledJointsMixedWeights>/NumDuplicates:1500/FlushCache:0",25,2.84063e+07,2.84068e+07,ns,7.43018e+09,3.09591e+08,,,
"BM_Template<Bench_PooledJointsMixedWeights>/NumDuplicates:2000/FlushCache:0",19,3.77564e+07,3.77569e+07,ns,7.45357e+09,3.10566e+08,,,
"BM_Template<Bench_PooledJointsMixedWeights>/NumDuplicates:2500/FlushCache:0",15,4.70847e+07,4.70854e+07,ns,7.47111e+09,3.11296e+08,,,
"BM_Template<Bench_PooledJointsMixedWeights>/NumDuplicates:3000/FlushCache:0",12,5.63636e+07,5.63642e+07,ns,7.48943e+09,3.1206e+08,,,
"BM_Template<Bench_PooledJointsMixedWeights>/NumDuplicates:3500/FlushCache:0",11,6.59012e+07,6.59019e+07,ns,7.47311e+09,3.1138e+08,,,
"BM_Template<Bench_PooledJointsMixedWeights>/NumDuplicates:4000/FlushCache:0",9,7.53035e+07,7.5304e+07,ns,7.47434e+09,3.11431e+08,,,
"BM_Template<Bench_PooledJointsMixedWeights>/NumDuplicates:4500/FlushCache:0",8,8.45026e+07,8.45026e+07,ns,7.49331e+09,3.12221e+08,,,
"BM_Template<Bench_PooledJointsMixedWeights>/NumDuplicates:5000/FlushCache:0",7,9.4027e+07,9.40267e+07,ns,7.48255e+09,3.11773e+08,,,
"BM_Template<Bench_PooledJointsMixedWeights>_BigO",,18813.8,18813.8,N,,,,,
"BM_Template<Bench_PooledJointsMixedWeights>_RMS",,0.00196024,0.00196506,,,,,,
"BM_Template<Bench_ScatteredJointsSoaWeights>/NumDuplicates:500/FlushCache:0",62,1.13367e+07,1.13369e+07,ns,6.20595e+09,2.58581e+08,,,
"BM_Template<Bench_ScatteredJointsSoaWeights>/NumDuplicates:1000/FlushCache:0",31,2.2669e+07,2.26693e+07,ns,6.20717e+09,2.58632e+08,,,
