2019-06-12 18:51:01
Running ./bench
Run on (8 X 4000 MHz CPU s)
CPU Caches:
  L1 Data 32K (x4)
  L1 Instruction 32K (x4)
  L2 Unified 256K (x4)
  L3 Unified 8192K (x1)
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:500/FlushCache:0",49,1.42149e+07,1.42156e+07,ns,4.94922e+09,2.06218e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:1000/FlushCache:0",25,2.83777e+07,2.83706e+07,ns,4.95978e+09,2.06657e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:1500/FlushCache:0",16,4.25401e+07,4.25409e+07,ns,4.96153e+09,2.06731e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:2000/FlushCache:0",12,5.69079e+07,5.69088e+07,ns,4.94518e+09,2.06049e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:2500/FlushCache:0",10,7.19981e+07,7.19989e+07,ns,4.88591e+09,2.03579e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:3000/FlushCache:0",8,8.51668e+07,8.51675e+07,ns,4.95654e+09,2.06523e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:3500/FlushCache:0",7,1.00622e+08,1.00622e+08,ns,4.89446e+09,2.03936e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:4000/FlushCache:0",6,1.13273e+08,1.13274e+08,ns,4.96891e+09,2.07038e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:4500/FlushCache:0",5,1.29351e+08,1.29351e+08,ns,4.89525e+09,2.03969e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.39794e+08,1.39794e+08,ns,5.03283e+09,2.09701e+08,,,
"BM_Template<Bench_ScatteredJointsAosWeights>_BigO",,28414.8,28414.9,N,,,,,
"BM_Template<Bench_ScatteredJointsAosWeights>_RMS",,0.0126985,0.0126973,,,,,,
"BM_Template<Bench_PooledJointsAosWeights>/NumDuplicates:500/FlushCache:0",49,1.42762e+07,1.42782e+07,ns,4.9275e+09,2.05313e+08,,,
"BM_Template<Bench_PooledJointsAosWeights>/NumDuplicates:1000/FlushCache:0",25,2.84639e+07,2.84656e+07,ns,4.94323e+09,2.05968e+08,,,
"BM_Template<Bench_PooledJointsAosWeights>/NumDuplicates:1500/FlushCache:0",17,4.19077e+07,4.19096e+07,ns,5.03627e+09,2.09844e+08,,,
"BM_Template<Bench_PooledJointsAosWeights>/NumDuplicates:2000/FlushCache:0",13,5.59234e+07,5.59221e+07,ns,5.03243e+09,2.09685e+08,,,
"BM_Template<Bench_PooledJointsAosWeights>/NumDuplicates:2500/FlushCache:0",10,6.98275e+07,6.9829e+07,ns,5.03774e+09,2.09906e+08,,,
"BM_Template<Bench_PooledJointsAosWeights>/NumDuplicates:3000/FlushCache:0",8,8.55044e+07,8.5506e+07,ns,4.93692e+09,2.05705e+08,,,
"BM_Template<Bench_PooledJointsAosWeights>/NumDuplicates:3500/FlushCache:0",7,9.68214e+07,9.68206e+07,ns,5.08664e+09,2.11943e+08,,,
"BM_Template<Bench_PooledJointsAosWeights>/NumDuplicates:4000/FlushCache:0",6,1.10626e+08,1.10627e+08,ns,5.08779e+09,2.11991e+08,,,
"BM_Template<Bench_PooledJointsAosWeights>/NumDuplicates:4500/FlushCache:0",6,1.2771e+08,1.27713e+08,ns,4.95803e+09,2.06584e+08,,,
"BM_Template<Bench_PooledJointsAosWeights>/NumDuplicates:5000/FlushCache:0",5,1.41381e+08,1.41366e+08,ns,4.97686e+09,2.07369e+08,,,
"BM_Template<Bench_PooledJointsAosWeights>_BigO",,28097.4,28096.9,N,,,,,
"BM_Template<Bench_PooledJointsAosWeights>_RMS",,0.0128146,0.0128021,,,,,,
"BM_Template<Bench_ScatteredJointsMixedWeights>/NumDuplicates:500/FlushCache:0",61,1.15787e+07,1.158e+07,ns,6.07564e+09,2.53152e+08,,,
"BM_Template<Bench_ScatteredJointsMixedWeights>/NumDuplicates:1000/FlushCache:0",31,2.2822e+07,2.28173e+07,ns,6.16689e+09,2.56954e+08,,,
"BM_Template<Bench_ScatteredJointsMixedWeights>/NumDuplicates:1500/FlushCache:0",21,3.39285e+07,3.39295e+07,ns,6.22078e+09,2.59199e+08,,,
"BM_Template<Bench_ScatteredJointsMixedWeights>/NumDuplicates:2000/FlushCache:0",15,4.43611e+07,4.43628e+07,ns,6.34369e+09,2.6432e+08,,,
"BM_Template<Bench_ScatteredJointsMixedWeights>/NumDuplicates:2500/FlushCache:0",13,5.64337e+07,5.6433e+07,ns,6.23359e+09,2.59733e+08,,,
"BM_Template<Bench_ScatteredJointsMixedWeights>/NumDuplicates:3000/FlushCache:0",10,6.75153e+07,6.75156e+07,ns,6.25242e+09,2.60518e+08,,,
"BM_Template<Bench_ScatteredJointsMixedWeights>/NumDuplicates:3500/FlushCache:0",9,7.87437e+07,7.87444e+07,ns,6.25431e+09,2.60596e+08,,,
"BM_Template<Bench_ScatteredJointsMixedWeights>/NumDuplicates:4000/FlushCache:0",8,8.91294e+07,8.91258e+07,ns,6.31521e+09,2.63134e+08,,,
"BM_Template<Bench_ScatteredJointsMixedWeights>/NumDuplicates:4500/FlushCache:0",7,9.8554e+07,9.85537e+07,ns,6.42496e+09,2.67707e+08,,,
"BM_Template<Bench_ScatteredJointsMixedWeights>/NumDuplicates:5000/FlushCache:0",6,1.12492e+08,1.12491e+08,ns,6.25435e+09,2.60598e+08,,,
"BM_Template<Bench_ScatteredJointsMixedWeights>_BigO",,22336.9,22336.8,N,,,,,
"BM_Template<Bench_ScatteredJointsMixedWeights>_RMS",,0.0127433,0.0127413,,,,,,
"BM_Template<Bench_PooledJointsMixedWeights>/NumDuplicates:500/FlushCache:0",62,1.12895e+07,1.12903e+07,ns,6.23155e+09,2.59648e+08,,,
"BM_Template<Bench_PooledJointsMixedWeights>/NumDuplicates:1000/FlushCache:0",32,2.2187e+07,2.21877e+07,ns,6.34189e+09,2.64245e+08,,,
