desktop-aos,desktop-mixed,laptop-aos,laptop-mixed,graphic-aos,graphic-mixed,ray-aos,ray-mixed,voxel-aos,voxel-mixed
3.7682e+08,3.48858e+08,6.68398e+08,4.76895e+08,5.05828e+08,3.58555e+08,2.69872e+08,2.15369e+08,4.49894e+08,3.10031e+08
5.24368e+08,4.72313e+08,1.05587e+09,7.6505e+08,6.77328e+08,4.8499e+08,3.72291e+08,2.91749e+08,6.05175e+08,4.0811e+08
3.28758e+08,3.06126e+08,5.63323e+08,4.06105e+08,4.39346e+08,3.16347e+08,2.34731e+08,1.89274e+08,3.93124e+08,2.69528e+08
3.42535e+08,3.18674e+08,5.96266e+08,4.22832e+08,4.58033e+08,3.28392e+08,2.44381e+08,1.96719e+08,4.09535e+08,2.94443e+08
3.21895e+08,2.99774e+08,5.45574e+08,3.94276e+08,4.31052e+08,3.08049e+08,2.29441e+08,1.85536e+08,3.84924e+08,2.64363e+08
3.26663e+08,3.04111e+08,5.62805e+08,4.02845e+08,4.39821e+08,3.14893e+08,2.35062e+08,1.91027e+08,3.9187e+08,2.65454e+08
2.57391e+08,2.42385e+08,4.15934e+08,3.11356e+08,3.44514e+08,2.48535e+08,1.8347e+08,1.49716e+08,3.0864e+08,2.14173e+08
3.33792e+08,3.10803e+08,5.75363e+08,4.11649e+08,4.46383e+08,3.19774e+08,2.38162e+08,1.91796e+08,4.00497e+08,2.69456e+08
3.00886e+08,2.8123e+08,5.05868e+08,3.69067e+08,4.03352e+08,2.88985e+08,2.14719e+08,1.73862e+08,3.61817e+08,2.43949e+08
4.84918e+08,4.40634e+08,9.59331e+08,6.58135e+08,6.31691e+08,4.50395e+08,3.49758e+08,2.72385e+08,5.67331e+08,3.9089e+08
4.21143e+08,3.8638e+08,7.78731e+08,5.33115e+08,5.55486e+08,3.96861e+08,3.00331e+08,2.37691e+08,4.9922e+08,3.40684e+08
3.33373e+08,3.10252e+08,5.77475e+08,4.10246e+08,4.45387e+08,3.19452e+08,2.37729e+08,1.92704e+08,4.01451e+08,2.71002e+08
3.35579e+08,3.11857e+08,5.77752e+08,4.11668e+08,4.49625e+08,3.21178e+08,2.39724e+08,1.92541e+08,4.02752e+08,2.73913e+08
4.59593e+08,4.19512e+08,8.93106e+08,6.04528e+08,6.04715e+08,4.3142e+08,3.28919e+08,2.58585e+08,5.40233e+08,3.71041e+08
3.98181e+08,3.66321e+08,7.12159e+08,5.09694e+08,5.27488e+08,3.78105e+08,2.84116e+08,2.26383e+08,4.72603e+08,3.47232e+08
3.66755e+08,3.39183e+08,6.39566e+08,4.53121e+08,4.87749e+08,3.51108e+08,2.61739e+08,2.10044e+08,4.36763e+08,2.98657e+08
5.32984e+08,4.7986e+08,1.12778e+09,7.50699e+08,6.86311e+08,4.903e+08,3.80554e+08,2.97514e+08,6.14672e+08,4.18821e+08
5.20458e+08,4.70426e+08,1.06719e+09,7.2903e+08,6.73105e+08,4.83255e+08,3.7037e+08,2.90676e+08,6.02781e+08,4.11326e+08
4.00221e+08,3.68183e+08,7.29622e+08,5.03869e+08,5.28827e+08,3.78822e+08,2.85312e+08,2.27964e+08,4.72722e+08,3.30632e+08
3.51737e+08,3.26597e+08,6.56875e+08,4.34436e+08,4.71382e+08,3.36678e+08,2.51002e+08,2.02254e+08,4.20672e+08,2.94424e+08
4.8169e+08,4.37697e+08,9.43218e+08,6.41694e+08,6.29556e+08,4.51437e+08,3.43688e+08,2.71878e+08,5.60215e+08,3.8063e+08
3.84106e+08,3.54244e+08,6.87559e+08,4.79263e+08,5.09374e+08,3.65748e+08,2.74007e+08,2.2095e+08,4.56426e+08,3.10621e+08
3.79689e+08,3.50978e+08,6.9123e+08,4.74048e+08,5.04169e+08,3.60428e+08,2.71209e+08,2.18112e+08,4.51193e+08,3.18426e+08
3.82982e+08,3.54193e+08,6.8112e+08,4.83173e+08,5.08932e+08,3.65454e+08,2.73849e+08,2.20696e+08,4.53737e+08,3.1124e+08
3.35216e+08,3.1173e+08,5.77631e+08,4.10861e+08,4.48503e+08,3.20947e+08,2.41122e+08,1.92973e+08,4.00215e+08,2.7344e+08
3.67777e+08,3.40606e+08,6.41158e+08,4.61291e+08,4.90004e+08,3.50033e+08,2.63208e+08,2.10643e+08,4.37031e+08,2.98511e+08
3.49251e+08,3.24627e+08,6.03403e+08,4.28881e+08,4.66867e+08,3.34721e+08,2.57411e+08,2.00825e+08,4.17655e+08,2.86638e+08
5.1506e+08,4.64213e+08,1.04925e+09,7.07392e+08,6.65984e+08,4.76211e+08,3.66332e+08,2.87454e+08,5.98239e+08,4.07393e+08
