2019-09-01 17:04:55
Running ./traffic
Run on (8 X 4000 MHz CPU s)
CPU Caches:
  L1 Data 32K (x4)
  L1 Instruction 32K (x4)
  L2 Unified 256K (x4)
  L3 Unified 8192K (x1)
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_TrafficAos/Num iterations:1000/Mersenne seed:14159",2,3.76857e+08,3.7682e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:26535",1,5.24694e+08,5.24368e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:89793",2,3.2879e+08,3.28758e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:23846",2,3.42567e+08,3.42535e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:26433",2,3.21931e+08,3.21895e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:83279",2,3.26701e+08,3.26663e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:50288",3,2.57416e+08,2.57391e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:41971",2,3.33823e+08,3.33792e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:69399",2,3.00923e+08,3.00886e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:37510",2,4.84966e+08,4.84918e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:58209",2,4.21185e+08,4.21143e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:74944",2,3.33413e+08,3.33373e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:59230",2,3.35612e+08,3.35579e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:78164",2,4.59638e+08,4.59593e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:6286",2,3.98218e+08,3.98181e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:20899",2,3.66792e+08,3.66755e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:86280",1,5.33039e+08,5.32984e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:34825",1,5.20506e+08,5.20458e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:34211",2,4.00267e+08,4.00221e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:70679",2,3.51771e+08,3.51737e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:82148",2,4.81737e+08,4.8169e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:8651",2,3.8415e+08,3.84106e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:32823",2,3.79727e+08,3.79689e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:6647",2,3.8302e+08,3.82982e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:9384",2,3.35256e+08,3.35216e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:46095",2,3.67814e+08,3.67777e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:50582",2,3.49284e+08,3.49251e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:23172",1,5.15119e+08,5.1506e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:53594",2,3.50277e+08,3.50235e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:8128",2,4.70285e+08,4.70239e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:48111",2,3.76107e+08,3.76067e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:74502",2,4.52917e+08,4.52872e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:84102",2,4.0705e+08,4.07012e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:70193",2,3.04185e+08,3.04153e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:85211",3,2.62102e+08,2.62072e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:5559",2,2.93501e+08,2.93474e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:64462",2,4.01981e+08,4.01942e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:29489",2,3.91807e+08,3.91762e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:54930",1,5.13203e+08,5.1315e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:38196",2,3.65749e+08,3.65714e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:44288",2,3.60781e+08,3.60742e+08,ns,,,,,
