2019-06-12 17:03:03
Running ./traffic
Run on (8 X 3900 MHz CPU s)
CPU Caches:
  L1 Data 32K (x4)
  L1 Instruction 32K (x4)
  L2 Unified 256K (x4)
  L3 Unified 10240K (x1)
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_TrafficAos/Num iterations:1000/Mersenne seed:1415926535",2,4.78031e+08,4.78027e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:389389254",1,5.01954e+08,5.01949e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:-1651584017",2,4.46285e+08,4.46281e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:733874675",2,4.22729e+08,4.22726e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:-1649997082",1,5.12308e+08,5.12301e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:1526007648",1,5.04388e+08,5.0438e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:1628110868",2,4.45466e+08,4.45463e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:628620899",2,4.33493e+08,4.3349e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:38100233",2,4.08681e+08,4.08674e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:-873796617",2,3.56852e+08,3.56847e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:-375125941",1,6.54576e+08,6.54575e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:-1012660649",1,6.26083e+08,6.26082e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:938446095",2,4.53712e+08,4.53709e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:763255876",2,4.30997e+08,4.30994e+08,ns,,,,,
