2019-09-04 15:32:31
Running ./traffic
Run on (4 X 3200 MHz CPU s)
CPU Caches:
  L1 Data 32K (x2)
  L1 Instruction 32K (x2)
  L2 Unified 256K (x2)
  L3 Unified 3072K (x1)
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_TrafficAos/Num iterations:1000/Mersenne seed:14159",1,6.69065e+08,6.68398e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:26535",1,1.05682e+09,1.05587e+09,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:89793",1,5.63778e+08,5.63323e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:23846",1,5.96752e+08,5.96266e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:26433",1,5.46146e+08,5.45574e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:83279",1,5.63349e+08,5.62805e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:50288",2,4.16276e+08,4.15934e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:41971",1,5.75878e+08,5.75363e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:69399",1,5.06362e+08,5.05868e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:37510",1,9.60168e+08,9.59331e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:58209",1,7.79412e+08,7.78731e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:74944",1,5.77971e+08,5.77475e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:59230",1,5.78635e+08,5.77752e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:78164",1,8.94915e+08,8.93106e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:6286",1,7.12921e+08,7.12159e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:20899",1,6.40975e+08,6.39566e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:86280",1,1.1292e+09,1.12778e+09,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:34825",1,1.06868e+09,1.06719e+09,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:34211",1,7.30238e+08,7.29622e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:70679",1,6.57583e+08,6.56875e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:82148",1,9.4419e+08,9.43218e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:8651",1,6.88161e+08,6.87559e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:32823",1,6.91769e+08,6.9123e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:6647",1,6.8171e+08,6.8112e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:9384",1,5.78206e+08,5.77631e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:46095",1,6.4159e+08,6.41158e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:50582",1,6.03873e+08,6.03403e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:23172",1,1.05105e+09,1.04925e+09,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:53594",1,6.04158e+08,6.03547e+08,ns,,,,,
