2019-06-12 17:03:02
Running ./traffic
Run on (8 X 4500 MHz CPU s)
CPU Caches:
  L1 Data 32K (x4)
  L1 Instruction 32K (x4)
  L2 Unified 256K (x4)
  L3 Unified 8192K (x1)
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_TrafficAos/Num iterations:1000/Mersenne seed:1415926535",3,2.71905e+08,2.71904e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:389389254",2,2.97267e+08,2.97265e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:-1651584017",3,2.59427e+08,2.59425e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:733874675",3,2.45902e+08,2.459e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:-1649997082",2,2.97454e+08,2.9745e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:1526007648",2,2.95468e+08,2.95465e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:1628110868",3,2.63309e+08,2.6331e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:628620899",3,2.51051e+08,2.51044e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:38100233",3,2.36919e+08,2.36918e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:-873796617",3,2.08418e+08,2.08416e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:-375125941",2,4.00203e+08,4.002e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:-1012660649",2,3.81279e+08,3.8128e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:938446095",3,2.61546e+08,2.61537e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:763255876",3,2.49686e+08,2.49685e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:1064440832",2,3.29209e+08,3.29207e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:516207206",2,3.25832e+08,3.25822e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:-179664399",3,2.11718e+08,2.11715e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:-68829033",2,3.45856e+08,3.45854e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:-2143705103",2,3.10778e+08,3.10778e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:1198070900",2,3.26055e+08,3.26052e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:133843679",2,3.28965e+08,3.28963e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:-1930600131",3,2.3303e+08,2.33028e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:-1447402473",2,2.86043e+08,2.8604e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:-508184131",2,3.18507e+08,3.18503e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:-1582948205",3,2.79601e+08,2.79599e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:269889396",3,2.31316e+08,2.31317e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:-834618686",2,3.25276e+08,3.25258e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:248299186",2,2.92422e+08,2.92423e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:1339360726",2,3.24647e+08,3.24645e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:249141273",3,2.44929e+08,2.4493e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:-1344064526",3,2.73965e+08,2.73963e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:631558817",3,2.1891e+08,2.18908e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:586553624",3,2.67419e+08,2.67417e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:1038357948",2,3.11469e+08,3.11468e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:581601844",2,2.87817e+08,2.87818e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:-697344232",2,2.83443e+08,2.83428e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:113305305",2,3.42158e+08,3.42156e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:587079356",3,2.52166e+08,2.52164e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:1384146951",3,2.67482e+08,2.6748e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:825181502",3,2.2827e+08,2.28269e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:-989240260",3,2.66172e+08,2.6617e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:1464624657",3,2.75081e+08,2.75079e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:921861173",2,3.24238e+08,3.24238e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:-396673413",3,2.47181e+08,2.47181e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:-1189848748",2,3.35831e+08,3.35807e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:744623799",3,2.44696e+08,2.44697e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:1979989439",2,3.17579e+08,3.1758e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:1885752724",3,2.71836e+08,2.71836e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:322344789",2,2.84926e+08,2.84901e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:-288739680",2,2.87994e+08,2.87994e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:1243738770",2,3.36734e+08,3.36721e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:111599134",2,2.90058e+08,2.90055e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:12204902",3,2.69547e+08,2.69546e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:2100257441",2,3.68561e+08,3.68543e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:1907021798",2,2.97586e+08,2.97582e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:1799402981",3,2.21586e+08,2.21585e+08,ns,,,,,
