2019-06-12 17:03:01
Running ./traffic
Run on (8 X 4000 MHz CPU s)
CPU Caches:
  L1 Data 32K (x4)
  L1 Instruction 32K (x4)
  L2 Unified 256K (x4)
  L3 Unified 8192K (x1)
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_TrafficAos/Num iterations:1000/Mersenne seed:1415926535",2,4.37208e+08,4.37209e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:389389254",2,4.72157e+08,4.7215e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:-1651584017",2,4.17279e+08,4.17279e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:733874675",2,3.99057e+08,3.99058e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:-1649997082",2,4.78538e+08,4.78534e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:1526007648",2,4.79028e+08,4.79025e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:1628110868",2,4.26605e+08,4.26598e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:628620899",2,4.09402e+08,4.09401e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:38100233",2,3.88044e+08,3.88045e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:-873796617",2,3.34225e+08,3.34225e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:-375125941",1,6.15929e+08,6.15925e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:-1012660649",1,5.89266e+08,5.89263e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:938446095",2,4.24464e+08,4.24466e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:763255876",2,4.01684e+08,4.01676e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:1064440832",1,5.21988e+08,5.21992e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:516207206",1,5.1634e+08,5.16336e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:-179664399",2,3.42723e+08,3.42726e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:-68829033",1,5.4149e+08,5.41495e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:-2143705103",2,4.89779e+08,4.89779e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:1198070900",1,5.16043e+08,5.16039e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:133843679",1,5.23182e+08,5.23186e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:-1930600131",2,3.80924e+08,3.80925e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:-1447402473",2,4.63278e+08,4.6328e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:-508184131",1,5.13332e+08,5.13329e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:-1582948205",2,4.46866e+08,4.46861e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:269889396",2,3.76838e+08,3.76835e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:-834618686",1,5.14396e+08,5.14401e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:248299186",2,4.65372e+08,4.65374e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:1339360726",1,5.21284e+08,5.21289e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:249141273",2,3.95145e+08,3.95135e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:-1344064526",2,4.44259e+08,4.4426e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:631558817",2,3.50105e+08,3.50096e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:586553624",2,4.39732e+08,4.39733e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:1038357948",2,4.941e+08,4.94101e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:581601844",2,4.70683e+08,4.70674e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:-697344232",2,4.62614e+08,4.62608e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:113305305",1,5.48866e+08,5.48871e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:587079356",2,4.13e+08,4.13004e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:1384146951",2,4.3083e+08,4.30828e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:825181502",2,3.73067e+08,3.73067e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:-989240260",2,4.34763e+08,4.34765e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:1464624657",2,4.47768e+08,4.47769e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:921861173",1,5.16779e+08,5.16776e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:-396673413",2,4.03279e+08,4.03281e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:-1189848748",1,5.38028e+08,5.38022e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:744623799",2,3.95589e+08,3.9559e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:1979989439",1,5.13454e+08,5.13449e+08,ns,,,,,
"BM_TrafficAos/Num iterations:1000/Mersenne seed:1885752724",2,4.42544e+08,4.4254e+08,ns,,,,,
